"","X","Player","link_TRM","scouting_period","Age","Height","Position","Foot","Data_League","Goals.Against","Shots.on.Target.Against","Saves","Save.","Wins","Draws","Losses","Clean.Sheets","Clean.Sheet.Percentage","Penalty.Kicks.Attempted","Penalty.Kicks.Allowed","Penalty.Kicks.Saved","Penalty.Kicks.Missed","Save...Penalty.Kicks.","Goals.Against.1","Penalty.Kicks.Allowed.1","Free.Kick.Goals.Against","Corner.Kick.Goals.Against","Own.Goals.Scored.Against.Goalkeeper","PSxG","PSxG.SoT","PSxG.GA","Passes.Completed..Launched.","Passes.Attempted..Launched.","Pass.Completion.Percentage..Launched.","Passes.Attempted","Throws.Attempted","Launch.","Average.Pass.Length","Goal.Kicks","Launch...Goal.Kicks.","Avg..Length.of.Goal.Kicks","Crosses.Faced","Crosses.Stopped","Crosses.Stopped..","Def..Actions.Outside.Pen..Area","Avg..Distance.of.Def..Actions"
"345",345,"Leandro Chichizola","https://www.transfermarkt.com/leandro-chichizola/profil/spieler/95736","2017-2018",27,1.82,"Goalkeeper","right","La Liga",1.74,5.59,4,70.9,0.15,0.19,0.67,0.15,14.8,0.11,0.11,0,0,0,1.74,0.11,0.04,0.19,0.04,1.71,0.29,0,6.37,16.33,39,30.93,5.33,40.6,37,6.11,61.8,50.4,8.48,1.19,14,1.26,16.2
"346",346,"Leonardo César Jardim","https://www.transfermarkt.com/leo-jardim/profil/spieler/288415","2021-2022",27,1.88,"Goalkeeper","right","Ligue 1",1,4,3,78.6,0.43,0.43,0.14,0.71,71.4,0.29,0.14,0.14,0,50,1,0.14,0,0.29,0,0.93,0.22,-0.07,4.57,12,38.1,19.29,4.86,41.5,35,8.14,49.1,42.8,8.86,0.57,6.5,0.86,15.8
"347",347,"Leopold Zingerle","https://www.transfermarkt.com/leopold-zingerle/profil/spieler/160971","2019-2020",27,1.85,"Goalkeeper","right","Bundesliga",2.04,5.25,3.39,63.3,0.14,0.25,0.61,0.18,17.9,0.14,0.11,0.04,0,25,2.04,0.11,0.11,0.25,0.07,2.03,0.37,0.06,6.86,13.57,50.5,35.07,6.68,31.1,32.3,8.39,31.9,32.5,9.25,0.36,3.9,0.61,14
"348",348,"Lorenzo Andrenacci","https://www.transfermarkt.com/lorenzo-andrenacci/profil/spieler/234880","2019-2020",26,1.88,"Goalkeeper","right","Serie A",2.71,7.63,4.75,64.4,0,0.17,0.68,0,0,0.17,0,0,0.17,NA,2.71,0,0.17,0.17,0,2.2,0.29,-0.51,5.59,11.19,50,16.44,7.63,33,35.4,11.19,51.5,43.5,9.49,0.17,1.8,0.34,12.5
"349",349,"Lorenzo Montipò","https://www.transfermarkt.com/lorenzo-montipo/profil/spieler/241923","2021-2022",27,1.91,"Goalkeeper","right","Serie A",1.54,3.85,2.38,62,0.38,0.31,0.31,0.12,11.5,0.08,0.08,0,0,0,1.54,0.08,0,0.23,0.08,1.28,0.31,-0.18,6.38,18.46,34.6,21.62,3.5,63.7,46.6,6.69,70.1,49.4,8.77,0.46,5.3,0.38,13.5
"350",350,"Lorenzo Montipò","https://www.transfermarkt.com/lorenzo-montipo/profil/spieler/241923","2020-2021",26,1.91,"Goalkeeper","right","Serie A",2,4.59,2.81,58.8,0.19,0.3,0.51,0.19,18.9,0.14,0.11,0.03,0,20,2,0.11,0,0.3,0.16,1.74,0.36,-0.1,6.73,18.05,37.3,26.05,4.65,51.9,40.8,7.35,61.8,46,10.14,0.97,9.6,0.57,14.7
"351",351,"Loris Karius","https://www.transfermarkt.com/loris-karius/profil/spieler/85864","2017-2018",25,1.91,"Goalkeeper","right","Premier League",0.74,2.16,1.47,70.7,0.58,0.26,0.16,0.53,52.6,0.16,0.11,0.05,0,33.3,0.74,0.11,0,0.16,0,0.83,0.33,0.09,4.37,13.11,33.3,27.26,5.68,36.3,35.8,5.37,59.8,50.1,7.79,0.63,8.1,0.63,14.7
"352",352,"Luca Lezzerini","https://www.transfermarkt.com/luca-lezzerini/profil/spieler/135747","2021-2022",26,1.95,"Goalkeeper","right","Serie A",1.64,7.09,5.45,76.9,0.36,0.18,0.55,0,0,0,0,0,0,NA,1.64,0,0,0,0,2.18,0.32,0.55,5.45,12.73,42.9,28.18,7.09,33.5,32.9,7.64,42.9,34.9,10.36,0.36,3.5,0.36,11.4
"353",353,"Luca Zidane","https://www.transfermarkt.com/luca-zidane/profil/spieler/283489","2021-2022",25,1.83,"Goalkeeper","right","La Liga",1.46,5.03,3.57,71,0,0.16,0.97,0,0,0,0,0,0,NA,1.46,0,0,0.16,0,1.46,0.29,0,7.62,15.41,49.5,25.14,6,42.6,38.1,7.46,63,50,7.95,0.65,8.2,0.32,12.4
"354",354,"Ludovic Butelle","https://www.transfermarkt.com/ludovic-butelle/profil/spieler/12029","2019-2020",38,1.88,"Goalkeeper","left","Ligue 1",1.23,3,1.92,62.8,0.38,0.23,0.38,0.42,42.3,0.12,0.12,0,0,0,1.23,0.12,0.04,0.04,0.04,0.94,0.28,-0.25,5.73,14.77,38.8,18.96,4.38,47.5,39.8,7.81,73.9,52.5,7.12,0.58,8.1,0.81,14.9
"355",355,"Ludovic Butelle","https://www.transfermarkt.com/ludovic-butelle/profil/spieler/12029","2018-2019",37,1.88,"Goalkeeper","left","Ligue 1",1.33,4.33,3.11,71.2,0.25,0.42,0.33,0.33,33.3,0.14,0.08,0.06,0,40,1.33,0.08,0,0.11,0.03,1.3,0.28,0,7.2,16.64,43.2,19.28,4.72,54.2,43.4,7.7,80.5,55.6,10.34,0.92,8.9,0.94,14.9
"356",356,"Ludovic Butelle","https://www.transfermarkt.com/ludovic-butelle/profil/spieler/12029","2017-2018",36,1.88,"Goalkeeper","left","Ligue 1",1.2,3.81,2.83,72.9,0.33,0.27,0.44,0.22,21.1,0.16,0.16,0,0,0,1.2,0.16,0.05,0.05,0.05,1.12,0.26,-0.03,3.43,12.41,27.6,16.5,3.43,48.8,40.4,4.85,89.9,60.6,9.53,1.14,12,1.25,17.5
"357",357,"Luigi Sepe","https://www.transfermarkt.com/luigi-sepe/profil/spieler/99254","2021-2022",32,1.85,"Goalkeeper","left","Serie A",2.17,5.33,3.5,65.6,0,0.83,0.17,0,0,0.33,0.33,0,0,0,2.17,0.33,0,0,0,2.07,0.33,-0.1,10.67,21,50.8,29,3,52.3,42,8,72.9,50.6,10.5,0.5,4.8,0.67,15
"358",358,"Luigi Sepe","https://www.transfermarkt.com/luigi-sepe/profil/spieler/99254","2020-2021",31,1.85,"Goalkeeper","left","Serie A",2.11,4.92,2.86,58.2,0.08,0.31,0.61,0.14,13.9,0.06,0.06,0,0,0,2.11,0.06,0,0.25,0.08,1.69,0.34,-0.34,9.75,17.69,55.1,32.64,5,44.2,38.1,7.5,43.7,38.5,11.56,0.69,6,0.31,12.8
"359",359,"Luigi Sepe","https://www.transfermarkt.com/luigi-sepe/profil/spieler/99254","2019-2020",30,1.85,"Goalkeeper","left","Serie A",1.56,5.41,3.94,74.5,0.38,0.18,0.44,0.15,14.7,0.26,0.18,0.09,0,33.3,1.56,0.18,0.03,0.29,0,1.59,0.26,0.03,8.12,16.53,49.1,23.79,3.35,51.2,41.6,9.68,45,35.3,11.5,0.35,3.1,0.24,13
"360",360,"Luigi Sepe","https://www.transfermarkt.com/luigi-sepe/profil/spieler/99254","2018-2019",29,1.85,"Goalkeeper","left","Serie A",1.59,5.16,3.89,73.3,0.27,0.3,0.43,0.27,27,0.22,0.22,0,0,0,1.59,0.22,0.03,0.24,0.11,1.44,0.25,-0.05,9.35,21.19,44.1,20.3,3.49,55,44.8,12.19,82.3,56.2,15.38,1.03,6.7,0.27,11.3
"361",361,"Luís Maximiano","https://www.transfermarkt.com/luis-maximiano/profil/spieler/367464","2021-2022",24,1.9,"Goalkeeper","both","La Liga",1.53,4.87,3.54,71.9,0.2,0.32,0.44,0.16,16.7,0.2,0.16,0.04,0,20,1.53,0.16,0,0.24,0.08,1.63,0.3,0.18,7.08,20.61,34.4,24.79,4.83,56.5,44.6,9.42,70.1,51.4,11.11,0.76,6.9,1.25,15.9
"362",362,"Lukáš Hrádecký","https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015","2021-2022",33,1.92,"Goalkeeper","right","Bundesliga",1.56,5.24,3.76,71.8,0.48,0.24,0.28,0.2,20,0.16,0.08,0.04,0.04,33.3,1.56,0.08,0.08,0.28,0,1.54,0.28,-0.02,6.28,15.24,41.2,32.64,5.28,36.4,34.9,7.12,47.2,40.3,7.84,0.52,6.6,0.84,15.5
"363",363,"Lukáš Hrádecký","https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015","2020-2021",32,1.92,"Goalkeeper","right","Bundesliga",1.02,2.88,1.96,65.9,0.46,0.32,0.25,0.28,27.6,0.07,0.04,0.04,0,50,1.02,0.04,0.04,0,0.07,0.94,0.31,-0.01,7.33,17.65,41.6,42.63,6.32,35.9,34.8,6.18,38.1,34.2,7.3,0.74,10.1,1.09,16.2
"364",364,"Lukáš Hrádecký","https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015","2019-2020",31,1.92,"Goalkeeper","right","Bundesliga",1.29,4.03,2.71,69.3,0.56,0.18,0.26,0.29,29.4,0.06,0.06,0,0,0,1.29,0.06,0.03,0.18,0,1.43,0.35,0.14,7.68,17.76,43.2,40.06,6.03,37,35.7,6.88,42.7,38.9,6.41,0.62,9.6,0.85,15.8
"365",365,"Lukáš Hrádecký","https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015","2018-2019",30,1.92,"Goalkeeper","right","Bundesliga",1.47,3.91,2.59,64.8,0.56,0.13,0.31,0.28,28.1,0.13,0.09,0.03,0,25,1.47,0.09,0.06,0.31,0.06,1.28,0.3,-0.13,7.44,15.91,46.8,36.5,5,34.6,35,6.13,53.6,44.6,7.28,0.69,9.4,0.88,16
"366",366,"Lukáš Hrádecký","https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015","2017-2018",29,1.92,"Goalkeeper","right","Bundesliga",1.32,3.91,2.68,67.7,0.41,0.21,0.38,0.21,20.6,0.09,0.06,0,0.03,0,1.32,0.06,0.06,0.24,0.06,1.21,0.3,-0.06,8.29,20.71,40.1,31.18,4.82,50.8,41.5,6.35,76.9,58.9,8.85,0.71,8,1.03,15.2
"367",367,"Lukasz Fabianski","https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692","2021-2022",38,1.9,"Goalkeeper","right","Premier League",1.25,4.11,2.75,71.3,0.5,0.21,0.29,0.25,25,0.11,0.07,0.04,0,33.3,1.25,0.07,0.04,0.18,0,1.34,0.31,0.09,6.89,16.39,42,18.64,3.61,58,45.2,7.5,74.3,54.5,9,0.39,4.4,0.21,12
"368",368,"Lukasz Fabianski","https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692","2020-2021",37,1.9,"Goalkeeper","right","Premier League",1.26,3.83,2.74,69.4,0.49,0.23,0.29,0.29,28.6,0.17,0.09,0.06,0.03,40,1.26,0.09,0,0.11,0.11,1.28,0.31,0.14,8.03,18.91,42.4,20.89,4.03,60.9,46.2,7.74,80.1,57,10.2,0.77,7.6,0.31,12.4
"369",369,"Lukasz Fabianski","https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692","2019-2020",36,1.9,"Goalkeeper","right","Premier League",1.45,4.17,2.93,68.4,0.34,0.3,0.43,0.21,20,0.17,0.13,0.04,0,25,1.45,0.13,0.04,0.09,0.09,1.29,0.28,-0.07,9.35,21.51,43.5,20.32,3.83,68.8,49.8,8.25,91.2,63.9,10.16,0.43,4.2,0.21,11.5
"370",370,"Lukasz Fabianski","https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692","2018-2019",35,1.9,"Goalkeeper","right","Premier League",1.45,5.05,3.63,73.4,0.39,0.18,0.42,0.18,18.4,0.13,0.11,0.03,0,20,1.45,0.11,0,0.26,0.03,1.72,0.33,0.3,8.61,22.79,37.8,24.37,3.95,62.9,49.5,8.08,92.5,67.8,9.95,0.95,9.5,0.45,13.1
"371",371,"Lukasz Fabianski","https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692","2017-2018",34,1.9,"Goalkeeper","right","Premier League",1.47,4.79,3.39,70.9,0.21,0.24,0.55,0.24,23.7,0.18,0.08,0.08,0.03,50,1.47,0.08,0.03,0.16,0.05,1.47,0.29,0.05,8.66,22.03,39.3,24.03,4,56.8,46.5,9.45,88.6,64.5,10.47,1.03,9.8,0.32,12.9
"372",372,"Lukasz Skorupski","https://www.transfermarkt.com/lukasz-skorupski/profil/spieler/80894","2021-2022",32,1.87,"Goalkeeper","right","Serie A",1.54,4.5,3.29,71.4,0.32,0.21,0.46,0.32,32.1,0.25,0.25,0,0,0,1.54,0.25,0.04,0.11,0.07,1.5,0.29,0.03,6.57,14.61,45,27.14,4.46,44.9,37.8,6.79,35.8,31.4,9.07,0.61,6.7,0.21,11.8
"373",373,"Lukasz Skorupski","https://www.transfermarkt.com/lukasz-skorupski/profil/spieler/80894","2020-2021",31,1.87,"Goalkeeper","right","Serie A",1.64,5.11,3.64,71.3,0.36,0.18,0.46,0.14,14.3,0.25,0.18,0.07,0,28.6,1.64,0.18,0.04,0.29,0.04,1.6,0.28,0,4.29,11.29,38,26.36,5.82,33.7,33.3,8.14,29.4,26.2,8.68,0.89,10.3,0.46,12.8
"374",374,"Lukasz Skorupski","https://www.transfermarkt.com/lukasz-skorupski/profil/spieler/80894","2019-2020",30,1.87,"Goalkeeper","right","Serie A",1.73,4.86,3.3,67.8,0.32,0.27,0.41,0.05,5.4,0.22,0.16,0.03,0.03,14.3,1.73,0.16,0.05,0.16,0.03,1.56,0.3,-0.14,5.32,12.03,44.3,23.11,5.84,37.7,35.3,7.89,42.1,34.8,8.65,1.24,14.4,0.41,12.9
"375",375,"Lukasz Skorupski","https://www.transfermarkt.com/lukasz-skorupski/profil/spieler/80894","2018-2019",29,1.87,"Goalkeeper","right","Serie A",1.47,4.55,3.18,69.9,0.29,0.29,0.42,0.26,26.3,0.11,0.11,0,0,0,1.47,0.11,0.03,0.13,0.03,1.33,0.28,-0.12,6.97,15.97,43.7,20.61,5.82,48.5,40.8,9.03,66.2,51.3,10.68,1.08,10.1,0.24,12.3
"376",376,"Mamadou Samassa","https://www.transfermarkt.com/mamadou-samassa/profil/spieler/72422","2017-2018",29,1.98,"Goalkeeper","right","Ligue 1",1.48,5.14,3.86,73.1,0.29,0.14,0.57,0.24,23.8,0.14,0.1,0.05,0,33.3,1.48,0.1,0,0.19,0.05,1.39,0.25,0,4.38,15.14,28.9,18.1,3.57,53.2,43.9,5.67,97.5,65.5,12.81,1.1,8.6,0.52,15.6
"377",377,"Manolo Reina","https://www.transfermarkt.com/manolo-reina/profil/spieler/29051","2021-2022",38,1.86,"Goalkeeper","right","La Liga",1.39,3.56,2.22,64.1,0.22,0.44,0.33,0.33,33.3,0.17,0.11,0.06,0,33.3,1.39,0.11,0,0.06,0.06,1.2,0.3,-0.13,5.94,16.61,35.8,21.83,3.67,54.2,44.2,8.44,56.6,43.5,8.94,0.56,6.2,0.61,15
"378",378,"Manolo Reina","https://www.transfermarkt.com/manolo-reina/profil/spieler/29051","2019-2020",36,1.86,"Goalkeeper","right","La Liga",1.67,4.56,3.25,71.3,0.25,0.14,0.61,0.14,13.9,0.39,0.36,0.03,0,7.1,1.67,0.36,0.06,0.19,0.03,1.61,0.28,-0.03,7.08,19.14,37,24.61,5,56.4,43.4,8.56,61.4,50.4,10.06,1,9.9,0.67,13.8
"379",379,"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2021-2022",35,1.93,"Goalkeeper","right","Bundesliga",0.95,3.29,2.33,71,0.81,0.1,0.1,0.33,33.3,0,0,0,0,NA,0.95,0,0,0.05,0,0.88,0.27,-0.07,5.81,10.14,57.3,38.67,5.86,24.1,30.3,5.86,13.8,27.4,7.33,0.52,7.1,1.67,20.4
"380",380,"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2020-2021",34,1.93,"Goalkeeper","right","Bundesliga",1.27,3.82,2.52,67.5,0.73,0.15,0.12,0.27,27.3,0.09,0.03,0.03,0.03,50,1.27,0.03,0,0.15,0,1.34,0.34,0.07,7.24,11.85,61.1,34.27,5.73,30.9,32.1,5.64,22.6,29.1,6.91,0.18,2.6,1.27,16.5
"381",381,"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2019-2020",33,1.93,"Goalkeeper","right","Bundesliga",0.94,3.36,2.55,74.8,0.76,0.12,0.12,0.45,45.5,0.12,0.09,0.03,0,25,0.94,0.09,0,0.18,0.03,0.98,0.27,0.08,6.61,11.21,58.9,38.39,6.12,26,30.1,5.42,22.3,29,5.91,0.39,6.7,1.64,19.3
"382",382,"Manuel Neuer","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","2018-2019",32,1.93,"Goalkeeper","right","Bundesliga",0.9,1.99,1.25,60.8,0.78,0.12,0.12,0.39,38.5,0.12,0.12,0,0,0,0.9,0.12,0,0.08,0.04,0.64,0.28,-0.21,5.16,10.59,48.7,31.11,4.26,30.9,32.5,4.69,20.8,33.1,4.96,0.35,7.1,1.17,18.1
"383",383,"Manuel Riemann","https://www.transfermarkt.com/manuel-riemann/profil/spieler/40792","2021-2022",34,1.86,"Goalkeeper","right","Bundesliga",1.38,4.92,3.58,70.8,0.29,0.21,0.5,0.25,25,0.08,0,0.08,0,100,1.38,0,0.04,0.21,0.17,1.64,0.33,0.35,18.63,39.25,47.5,45.96,3.08,71.8,50.1,8.29,75.4,53.5,9.04,1,11.1,1.92,18
"384",384,"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","2021-2022",31,1.87,"Goalkeeper","right","La Liga",1.04,3.04,2,65.8,0.52,0.32,0.16,0.28,28,0,0,0,0,NA,1.04,0,0,0.24,0,0.99,0.33,-0.05,5.96,10.28,58,31.68,4,25.4,29.4,6.36,35.2,33.6,6.84,0.44,6.4,0.28,12.9
"385",385,"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","2020-2021",30,1.87,"Goalkeeper","right","La Liga",1.03,3.29,2.42,71.6,0.68,0.16,0.16,0.35,35.5,0.1,0.1,0,0,0,1.03,0.1,0.03,0.13,0.06,0.94,0.27,-0.03,4.45,7.77,57.3,28.35,4.81,22.2,29.4,5.03,29.5,31.8,5.61,0.61,10.9,0.71,17.1
"386",386,"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","2019-2020",29,1.87,"Goalkeeper","right","La Liga",1,3.06,2.17,72.7,0.67,0.17,0.17,0.39,38.9,0.19,0.17,0.03,0,14.3,1,0.17,0.06,0.03,0,0.97,0.27,-0.03,5.69,9.39,60.7,33.33,4.92,22.8,28.8,6.08,29.7,31,7.39,0.36,4.9,0.75,15.1
"387",387,"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","2018-2019",28,1.87,"Goalkeeper","right","La Liga",0.91,3.31,2.46,73.3,0.71,0.23,0.06,0.46,45.7,0.03,0.03,0,0,0,0.91,0.03,0,0.09,0.03,0.98,0.29,0.09,4.06,7.89,51.4,24.66,5.46,21.8,29,5.63,44.7,40.3,8.2,1,12.2,0.77,16.4
"388",388,"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","2017-2018",27,1.87,"Goalkeeper","right","La Liga",0.76,3.46,2.76,79.7,0.73,0.24,0.03,0.51,51.4,0.05,0.05,0,0,0,0.76,0.05,0,0.03,0,1,0.28,0.24,4.35,8.89,48.9,25.68,3.81,27.2,30,3.62,53,44.2,7.62,0.68,8.9,0.57,15.2
"389",389,"Marc-Aurèle Caillard","https://www.transfermarkt.com/marc-aurele-caillard/profil/spieler/205465","2021-2022",29,1.91,"Goalkeeper","right","Ligue 1",1,3.99,3.09,77.5,0.2,0.4,0.4,0.4,40,0.1,0.1,0,0,0,1,0.1,0,0.3,0,1.2,0.28,0.2,7.28,16.94,42.9,16.54,4.68,50.6,43,9.17,93.5,62.9,8.57,0.4,4.7,0.4,13.8
"390",390,"Marc-Aurèle Caillard","https://www.transfermarkt.com/marc-aurele-caillard/profil/spieler/205465","2018-2019",26,1.91,"Goalkeeper","right","Ligue 1",1.62,4.29,2.67,63.3,0.19,0.33,0.48,0.29,28.6,0.1,0.05,0.05,0,50,1.62,0.05,0.05,0.14,0,1.4,0.32,-0.21,7.14,18.81,38,17.86,3.14,64.8,48.9,8.24,87.9,62.9,8,0.71,8.9,0.33,12.5
"391",391,"Marco Bizot","https://www.transfermarkt.com/marco-bizot/profil/spieler/124884","2021-2022",31,1.93,"Goalkeeper","right","Ligue 1",1.5,4.5,3.07,67.5,0.32,0.29,0.39,0.18,17.9,0.04,0.04,0,0,0,1.5,0.04,0,0.25,0.07,1.19,0.26,-0.24,8.07,17.11,47.2,22.64,5.07,47.8,40.7,8.5,73.9,55.1,8.04,0.68,8.4,0.39,14
"392",392,"Marco Silvestri","https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528","2021-2022",31,1.91,"Goalkeeper","right","Serie A",1.46,3.65,2.35,64.2,0.23,0.46,0.31,0.23,23.1,0.15,0.15,0,0,0,1.46,0.15,0,0.19,0.04,1.23,0.31,-0.19,5.96,15.12,39.4,20.81,2.62,53.6,41.8,7.54,52.6,42.2,7.15,0.31,4.3,0.12,11.5
"393",393,"Marco Silvestri","https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528","2020-2021",30,1.91,"Goalkeeper","right","Serie A",1.24,3.68,2.62,70.2,0.32,0.26,0.41,0.21,20.6,0.21,0.18,0,0.03,0,1.24,0.18,0.03,0.21,0.06,1.1,0.26,-0.07,6.24,21.94,28.4,21.38,2.32,68.6,47,8.09,89.8,58.9,8.47,0.29,3.5,0.38,13.1
"394",394,"Marco Silvestri","https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528","2019-2020",29,1.91,"Goalkeeper","right","Serie A",1.23,4.23,3.09,75.7,0.31,0.37,0.31,0.26,25.7,0.2,0.2,0,0,0,1.23,0.2,0.03,0.2,0.03,1.21,0.25,0.01,5.51,20.51,26.9,18.89,2.23,66.3,48.1,9.43,84.8,59.2,10.46,0.49,4.6,0.26,12
"395",395,"Marco Sportiello","https://www.transfermarkt.com/marco-sportiello/profil/spieler/199976","2020-2021",30,1.92,"Goalkeeper","right","Serie A",1.5,3.43,2,58.3,0.64,0.07,0.21,0.14,15.4,0.14,0.07,0.07,0,50,1.5,0.07,0,0.14,0,1.15,0.3,-0.35,3.5,7.78,45,22.77,4.92,23.8,30,4,58.9,47.2,6.28,0.5,8,1.07,16.9
"396",396,"Marco Sportiello","https://www.transfermarkt.com/marco-sportiello/profil/spieler/199976","2019-2020",29,1.92,"Goalkeeper","right","Serie A",0.86,3.26,2.4,73.7,0.69,0,0.17,0.34,40,0,0,0,0,NA,0.86,0,0,0,0,0.79,0.24,-0.07,1.89,5.49,34.4,21.43,5.14,17.6,27.7,4.63,37,37.1,5.31,0.69,12.9,1.2,19.3
"397",397,"Marco Sportiello","https://www.transfermarkt.com/marco-sportiello/profil/spieler/199976","2018-2019",28,1.92,"Goalkeeper","right","Serie A",1.83,5.66,4,70.2,0.14,0.26,0.6,0.23,22.9,0.14,0.14,0,0,0,1.83,0.14,0.06,0.29,0.03,1.6,0.27,-0.2,5.43,16.57,32.8,25.46,6.54,40.4,38.2,9.66,65.1,50.9,11.54,0.94,8.2,0.31,12.3
"398",398,"Marco Sportiello","https://www.transfermarkt.com/marco-sportiello/profil/spieler/199976","2017-2018",27,1.92,"Goalkeeper","right","Serie A",1.07,3.77,2.67,73.1,0.45,0.25,0.34,0.39,37.8,0.08,0.06,0.03,0,33.3,1.07,0.06,0.06,0.14,0,1.15,0.29,0.08,4.3,11.08,38.8,21.09,5.2,36.8,34.8,6.61,50.2,42.2,8.94,1.12,12.6,0.31,13.7
"399",399,"Marcus Bettinelli","https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648","2018-2019",28,1.93,"Goalkeeper","right","Premier League",2.86,5.43,2.57,50,0.14,0.29,0.57,0,0,0.43,0.14,0.14,0.14,50,2.86,0.14,0,0.14,0,2.59,0.43,-0.27,9.86,21,46.9,25.29,4.71,52,42.2,9.57,82.1,57.4,10.71,0.86,8,0.71,14.4
"400",400,"Mariano Barbosa","https://www.transfermarkt.com/mariano-barbosa/profil/spieler/30749","2017-2018",34,1.88,"Goalkeeper","right","La Liga",1.12,3.84,2.8,72.9,0.48,0.24,0.24,0.4,41.7,0.08,0.08,0,0,0,1.12,0.08,0,0.16,0,1.05,0.26,-0.07,3.76,11.6,32.4,16.88,3.52,34.6,34.5,6.56,87.8,61.1,12.24,1.04,8.5,0.16,12.8
"401",401,"Marius Funk","https://www.transfermarkt.com/marius-funk/profil/spieler/170517","2021-2022",27,1.87,"Goalkeeper","right","Bundesliga",3.75,6.5,3.25,46.2,0,0,1,0,0,0.25,0.25,0,0,0,3.75,0.25,0,0.5,0.25,3.05,0.44,-0.45,8.75,24.13,36.3,36.63,3.5,49.5,42.1,8.63,69.6,53.8,6.38,0.38,5.9,1.5,17
"402",402,"Mark Flekken","https://www.transfermarkt.com/mark-flekken/profil/spieler/125714","2021-2022",30,1.94,"Goalkeeper","both","Bundesliga",0.92,4.25,3.42,79.4,0.5,0.29,0.21,0.33,33.3,0.04,0.04,0,0,0,0.92,0.04,0.04,0.13,0.04,1.11,0.26,0.24,9.13,22.04,41.4,33.46,3.75,47.8,42.8,7.83,77.1,63.2,9.17,0.58,6.4,0.79,15.4
"403",403,"Mark Flekken","https://www.transfermarkt.com/mark-flekken/profil/spieler/125714","2019-2020",28,1.94,"Goalkeeper","both","Bundesliga",1.4,7,5.4,80,0.4,0.3,0.3,0.3,30,0.1,0,0,0.1,NA,1.4,0,0,0.1,0,1.64,0.23,0.24,8.2,20.6,39.8,32.4,4.1,43.8,40.1,11.1,57.7,51.5,9.3,0.3,3.2,0.2,12.5
"404",404,"Marko Dmitrovic","https://www.transfermarkt.com/marko-dmitrovic/profil/spieler/94308","2020-2021",30,1.94,"Goalkeeper","left","La Liga",1.41,3.69,2.31,64.1,0.17,0.32,0.52,0.26,25.7,0.14,0.09,0.03,0.03,25,1.41,0.09,0,0.14,0,1.35,0.34,-0.06,8.8,22.67,38.8,24.2,2.83,68.3,54.6,6.78,90.6,72.7,7.3,0.58,7.9,1.18,16.8
"405",405,"Marko Dmitrovic","https://www.transfermarkt.com/marko-dmitrovic/profil/spieler/94308","2019-2020",29,1.94,"Goalkeeper","left","La Liga",1.46,3.23,1.91,58.4,0.26,0.26,0.49,0.29,28.6,0.14,0.11,0.03,0,20,1.46,0.11,0.06,0.09,0.03,1.26,0.36,-0.17,7.8,24.06,32.4,23.34,2.6,74.1,58.3,7,96.7,76.4,7.83,0.57,7.3,1.37,17.4
"406",406,"Marko Dmitrovic","https://www.transfermarkt.com/marko-dmitrovic/profil/spieler/94308","2018-2019",28,1.94,"Goalkeeper","left","La Liga",1.25,3.38,2.25,66.7,0.38,0.25,0.38,0.21,20.8,0.17,0.13,0.04,0,25,1.25,0.13,0.08,0.13,0,1.15,0.31,-0.1,8.58,24.04,35.7,24.71,2.79,73.2,55.4,6.46,92.3,74.2,7.63,0.63,8.2,1.63,17
"407",407,"Marko Dmitrovic","https://www.transfermarkt.com/marko-dmitrovic/profil/spieler/94308","2017-2018",27,1.94,"Goalkeeper","left","La Liga",1.36,3.39,2.22,63.1,0.36,0.22,0.42,0.28,27.8,0.11,0.11,0,0,0,1.36,0.11,0.06,0.08,0.11,1.18,0.33,-0.08,8.14,21.47,37.9,23.14,2.28,74.3,56.4,4.47,95.7,76.5,6.94,0.81,11.6,1.64,17.8
