longName,avg_playerankIndex,scouting_period
Daniel Ginczek,0.1869753533204766,2017-2018
Ralf Fährmann,0.19861670235571896,2017-2018
Sergio Escudero Palomo,0.1686795506958635,2017-2018
Christian Fuchs,0.1684919010115599,2017-2018
Kyriakos Papadopoulos,0.18595937834997767,2017-2018
Julian Draxler,0.1926057370595787,2017-2018
Marco Höger,0.17353809599621078,2017-2018
Lewis Harry Holtby,0.18310089181334657,2017-2018
José Manuel Jurado Marín,0.17829772861340312,2017-2018
Sead Kolašinac,0.18303848525118646,2017-2018
Joël Andre Job Matip,0.1848212753079806,2017-2018
Dennis Aogo,0.16397539317186083,2017-2018
Jeffrey Bruma,0.18212162389565856,2017-2018
Dennis Diekmeier,0.163489187681752,2017-2018
Danny Simpson,0.16780923282334628,2017-2018
Tomás Eduardo Rincón Hernández,0.17257376028953192,2017-2018
Jacopo Sala,0.16975850469914633,2017-2018
Per Ciljan Skjelbred,0.17397995001985128,2017-2018
Rémi Walter,0.17603509046228732,2017-2018
Wesley Saïd,0.19030596104393785,2017-2018
Tristan Dingomé,0.1649952898682491,2017-2018
Valentin Eysseric,0.1738574307803278,2017-2018
Marcel Tisserand,0.17052245183517462,2017-2018
Almamy Touré,0.17943998565614291,2017-2018
Heung-Min Son,0.2010761082773708,2017-2018
Marwin Hitz,0.18211797633252422,2017-2018
Robin Knoche,0.18470434475716935,2017-2018
Ricardo Iván Rodríguez Araya,0.16806722472156407,2017-2018
Marco Russ,0.18323097667442664,2017-2018
Makoto Hasebe,0.17622023441632773,2017-2018
Maximilian Arnold,0.1655332970393641,2017-2018
Jeremy Toljan,0.1825795544112118,2017-2018
Mario Mandžukić,0.18741716209999207,2017-2018
Giovanni-Guy Yann Sio,0.19366557586328018,2017-2018
Oliver Baumann,0.177881855316659,2017-2018
César Alejandro Falletti dos Santos,0.17349714264258242,2017-2018
Felipe Nicolás Avenatti Dovillabichus,0.17047674788075046,2017-2018
Oliver Sorg,0.16986663604810787,2017-2018
Daniel Caligiuri,0.16361960411281887,2017-2018
Fallou Diagne,0.1767455997410233,2017-2018
Matthias Ginter,0.18613998259416983,2017-2018
Jonathan Schmid,0.16732100263835953,2017-2018
Julian Schuster,0.15840927671387336,2017-2018
Ivan Santini,0.18855111615928874,2017-2018
Marc-André ter Stegen,0.24085303202580854,2017-2018
Dante Bonfim da Costa Santos,0.18110882009676432,2017-2018
Håvard Nordtveit,0.1807977839994742,2017-2018
Oscar Wendt,0.16985415482340357,2017-2018
Patrick Herrmann,0.1740196699152686,2017-2018
Tony Jantschke,0.16934748433856642,2017-2018
Mathew Leckie,0.1822074655932706,2017-2018
Marco Reus,0.20365386480232853,2017-2018
Ron-Robert Zieler,0.22536515372427393,2017-2018
Konstantin Rausch,0.15985978601193826,2017-2018
Lars Stindl,0.19377455321271742,2017-2018
Mame Biram Diouf,0.18440070408621176,2017-2018
Willi Orban,0.1859270166946486,2017-2018
Sandro Wagner,0.20390370076660977,2017-2018
John Guidetti,0.18572827128291436,2017-2018
Fabian Lustenberger,0.1762065495496525,2017-2018
