longName,wyId
Gustavo Daniel Cabral Cáceres,3916
Iván López Mendoza,3919
Pedro López Muñoz,3920
Nabil El Zhar,3934
Roger Martí Salvador,3937
Marcus Rashford,397178
Iván Cuéllar Sacristán,3963
Alejandro Gálvez Jimena,3970
Damián Nicolás Suárez Suárez,3974
Ante Budimir,69513
Mateo Pavlović,69525
Miguel Ángel Moyà Rumbo,3994
Miguel Torres Gómez,4003
Mehdi Lacen,4009
Rubén Salvador Pérez Del Mármol,4013
Pedro León Sánchez Gil,4014
Pablo Sarabia García,4015
Luca Pellegrini,397239
Andreas Christensen,135103
Sergio Enrich Ametller,4048
Jeison Fabián Murillo Cerón,4065
Andreas Evald Cornelius,135150
Ante Rebić,69616
Eneko Bóveda Altube,4086
Ferrán Torres García,397303
Ander Capa Rodríguez,4094
Xabier Etxeita Gorritxategi,4113
Ángel Luis Rodríguez Díaz,4131
Hörður Björgvin Magnússon,135207
Marlon Santos da Silva Barbosa,266286
David Rodríguez Lombán,4180
Simone Pontisso,364641
Assane Dioussé El Hadji,364644
Pedro Alcalá Guirado,4232
Samuel Moutoussamy,299154
Kevin N'Doram,331923
Aleix Vidal Parreu,4256
Joaquín Navarro Jiménez,4272
Borja García Freire,4278
David López Silva,4303
Daniel Giménez Hernández,4319
Chidozie Collins Awaziem,364772
Alessandro  Florenzi,22566
Roberto Román Triguero,4326
Javier Fuego Martínez,4332
Diego da Silva Costa,4338
Daniel Pacheco Lobato,4343
David Pavelka,82644
Mariano Damián Barbosa,4348
Raúl Lizoáin Cruz,4350
David García Santana,4355
Víctor Laguardia Cisneros,4358
Juan Pedro Ramírez López,4360
Javi Castellano Betancor,4361
Jerónimo Figueroa Cabrera,4362
José Vicente Gómez Umpiérrez,4363
Roque Mesa Quevedo,4365
Dani Castellano Betancor,4371
Lorenzo Jesús Morón García,364820
Víctor Machín Pérez,4375
Héctor Junior Firpo Adames,364850
Rodrigo Hernández Cascante,364860
Adrián Diéguez Grande,364870
Jonathan Castro Otto,4424
Borja Valle Balonga,4440
Tomi Jurić,69978
Denis Glushakov,101623
Yuri Berchiche Izeta,4452
Iago Herrerín Buisán,4476
Saúl Ñíguez Esclapez,4488
Yuning Zhang,364937
Lucas Vázquez Iglesias,4498
Daniel Carvajal Ramos,4501
Omar Mascarell González,4509
Pedro Mosquera Parada,4511
Denis Cheryshev,4513
Anastasios Donis,233910
Danilo Luiz da Silva,70083
Alex Sandro Lobo Silva,70084
Nicolás Hernán Otamendi,70086
Rolando Jorge Pires da Fonseca,70088
Ionuț Cristian Săpunaru,70090
João Filipe Iria Santos Moutinho,70093
Cristian Gabriel Rodríguez Barrotti,70095
James David Rodríguez Rubio,70096
Marc Janko,70100
Ezequiel Marcelo Garay,70112
Francisco Javier  García Fernández,70120
Nemanja Matić,70122
Axel  Witsel,70123
Manuel Agudo Durán,70125
Sergio Mora Sánchez,4593
Rui Pedro dos Santos Patrício,70134
Santiago Arias Naranjo,70136
Emiliano Adrián Insúa Zapata,70139
Daniel Filipe Martins Carriço,70140
André Martín Carrillo Díaz,70156
Tommaso Berni,70161
Elderson Uwa Echiejile,70168
Ádám Nagy,299557
Danijel Subašić,135747
Alexander Szymanowski,4683
Marcel Julian Lizak,508686
Nahitan Michel Nández Acosta,299618
Josip Elez,135788
Jan Oblak,70273
Marko Pjaca,135810
Michael Olunga,266885
Jan Repas,234138
Adama Traoré,266917
David Juncà Reñé,4780
Iván Balliu Campeny,4786
Carles Planas Antolínez,4789
Patricio Gabarrón Gil,4792
Anaitz Arbilla Zabala,4805
Max  Meyer,134369
Abel Enrique Aguilar Tapia,4814
Pedro Miguel Braga Rebocho,135901
Marcos Paulo Mesquita Lopes,135913
Ricardo Domingos Barbosa Pereira,70381
Cédric Ricardo Alves Soares,70389
Adrien Sebastian Perruchet Silva,70403
Éderzito António Macedo Lopes,70410
Carles Gil de Pareja Vicent,4879
José Luis Gayá Peña,4892
Jozabed Sánchez Ruiz,4911
Luis Carlos Correia Pinto,70451
Ramadan Sobhi,332605
David Simón Rodríguez Santana,4936
Mijat Gaćinović,136011
Yassine El Ghanassy,37714
Cheikhou Kouyaté,37725
Lucas Rodrigo Biglia,37732
Guillaume Gillet,37734
Pedro Tanausú Domínguez Placeres,4969
Paulo André Rodrigues de Oliveira,70507
Jordan Zacharie Lukaku Menama Mokelenge,37745
Patrik Schick,234359
Roger Beyker Martínez Tobinson,267134
Rick van Drongelen,365441
William Silva de Carvalho,37762
Danijel Miličević,37796
Gabriel Fernández Arenas,3441
Christian Dell'Orco,267185
Thomas Meunier,37824
Carlos Arturo Bacca Ahumada,37831
Maxime Lestienne,37836
Eiji Kawashima,37896
Anthony Rubén Lozano Colón,5147
Alen Halilović,234527
Stipe Perica,234533
Diego Rico Salguero,169002
Mariano Díaz Mejía,5167
Edson André Sitoe,70711
Alfreð Finnbogason,37948
Julián Omar Ramos Suárez,5195
Stef Peeters,38015
Kevin De Bruyne,38021
Sergio León Limones,5268
Mikel Rico Moreno,5290
Odion Jude Ighalo,5295
Guilherme Costa Marques,70834
Daniel Tawiah Opare,38079
Felipe Trevizan Martins,38082
Birkir Bjarnason,38084
Ihlas Bebou,224801
Michy Batshuayi Tunga,38093
Imoh Ezekiel,38094
Serge Gakpé,38095
Ilya Kutepov,103668
Roman Zobnin,103682
Antonio García Aranda,5383
Gerard Moreno Balaguero,5400
Rúben Afonso Borges Semedo,70956
Edgar Miguel Ié,70959
João Mário Naval da Costa Eduardo ,70965
Daichi Kamada,365880
Iuri José  Picanço Medeiros,70974
Armindo Tué Na Bangna,70975
Fernando Marçal de Oliveira,70981
Antonio Barreca,300373
Luis Hernández Rodríguez,5472
Daniel García Carrillo,5542
Malcom Filipe Silva de Oliveira,300485
Martín Maximiliano Mantovani,5653
David Alcibiade,28251
Christian Robert Santos Kwasniewski,38436
Bruno González Cabrera,5677
Douglas Luiz Soares de Paulo,443324
Marlon Sündermann,366197
Andrija Balić,300669
Ervin Zukanović,38532
Kevin Danso,366217
Juan Pablo Añor Acosta,5791
Alexander Nübel,333477
Lorenzo Venuti,284960
Willem Geubbels,497355
Jorge Marco de Oliveira Moraes,300784
Lucas Torreira Di Pascua,333571
Sergi Samper Montaña,5907
Sandro  Ramírez Castillo,5911
Adam Ounas,300830
Kévin Olivier Soni,366374
André-Frank Zambo Anguissa,366401
Lukáš Zima,137041
Stefan Simič,137048
Rijad Bajić,268180
Konrad Laimer,282804
Deian Boldor,137143
Abdou Diallo,235450
Dimitry Bertaud,366528
Jeff Reine-Adelaide,366542
Lebo Mothiba,366546
Jérémy Gelin,301013
Romain Perraud,301016
Marcus Thuram,301017
Vahid Selimovic,366563
Ederson Santana de Moraes,71654
Christ Emmanuel Faitout Maouassa,366571
Joris Gnagnon,366581
Iván Alejo Peralta,279555
Florin Andone,6165
Victor Nilsson Lindelöf,71703
Ruben Loftus-Cheek,235555
Francesc Aday Benítez Caraballo,6210
Timo Baumgartl,235597
Jonathan Cristian Silva,137298
Thilo Kehrer,235606
Kevin Lasagna,333913
Lorenco Šimić,350569
Joseba Zaldúa Bengoetxea,6281
Kenan Kodro,6292
Lassana Coulibaly,366760
Timo Stavitski,399576
Jon Ander Serantes Simon,6363
Unai Bustinza Martínez,6365
Javier Eraso Goñi,6370
Alexander Isak,399599
Esteban Rolón,399673
Pablo Fornals Malla,399676
Issiaga Sylla,203113
Raúl García Carnero,6513
Ján Ďurica,101616
Pedro López Galisteo,6577
Nicolas Janvier,367146
Bingourou Kamara,301635
Ibrahima Niane,498357
Simeon Tochukwu Nwankwo,72397
François Kamano,334552
Artur Yusupov,101704
Sauli Väisänen,170738
Aleksandr Kokorin,101705
Alexander Alegría Moreno,6914
Pedro Pablo Hernández,269060
Héctor Hernández Ortega,6925
Pablo Ínsua Blanco,6950
Fyodor Smolov,101707
Giovanni Pablo Simeone,269152
Wílmar Enrique Barrios Terán,246928
Olexandr Kucher,105328
Willian Borges da Silva,105333
Douglas  Costa de Souza,105334
Fernando Luiz Rosa,105339
Ramy Bensebaini,334720
Paweł Jaroszyński,269188
Bartosz Kapustka,269189
Ivan Strinić,105361
Yevhen Konoplyanka,105378
Karol Linetty,138174
Lucas Ariel Boyé,334817
Nico Elvedi,236528
Dennis Geiger,367621
Danilo Fernando Avelar,105523
Lucas Pérez Martínez,105541
Maksym Koval,105587
Raúl Albentosa Redal,7302
Serhiy Rybalka,105612
Brown Ideye Aide,105616
Admir Mehmedi,105619
Andriy Yarmolenko,105622
Milan Škriniar,138408
Florian Kath,269490
Vladlen Yurchenko,138493
Strahinja Tanasijević,400684
Carlos Andrés Sánchez Arcosa,86340
Vincent Janssen,269676
Lucas Pedro Alves De Lima,40301
Aleksandar Prijović,50411
Manuel Alejandro García Sánchez,7585
Leonardo Carrilho Baptistão,7623
Ignacio Vidal Miralles,302542
Brais Méndez Portela,302550
Gonçalo Manuel Ganchinho Guedes,237034
Benjamin Vérité,499200
Mario Gaspar Pérez Martínez,3529
Suat Serdar,302600
Cássio Roberto Ramos,40536
Leandro Castán da Silva,40538
Marcos  Aoás Corrêa ,40539
Thomas Carrique,499295
José Paulo Bezzera Maciel Júnior,40550
Matheus Dória Macedo,40574
Guilherme dos Santos Torres,40614
Łukasz Fabiański,7847
Damián Emiliano Martínez,7848
Wojciech  Szczęsny,7849
Johan Danon Djourou-Gbadjere,7850
Ignasi Miquel i Pons,7857
Bacary Sagna,7858
Thomas Vermaelen,7860
Francis Coquelin,7864
Francesco Cassata,302798
Gary  Cahill,7887
Thomas Rodríguez,401104
Wendell Nascimento Borges,40657
Milan Gajić,237267
Marko Grujić,237268
Saša Lukić,237269
John Michael Nchekwube Obinna,7898
Salomon Armand Magloire Kalou,7904
Romelu Lukaku Menama,7905
Fernando José Torres Sanz,7908
David de Gea Quintana,7910
Phil Jones,7918
Rafael Pereira da Silva,7920
Luís Carlos Almeida da Cunha,7926
Jesse Lingard,7934
Paul Pogba,7936
Ashley  Young,7939
Javier Hernández Balcázar,7941
Daniel Nii Tackie Mensah Welbeck,7945
Brad Jones,7947
José Manuel  Reina Páez,7949
Sebastián Coates Nión,7954
Rayan Aït Nouri,565016
Jordan Brian Henderson,7964
Lucas  Pezzini Leiva,7965
Luis Alberto Suárez Díaz,7972
Davide Santon,7982
Mehdi Abeid,7986
Carlos Henrique Casimiro,40756
Willian José da Silva,40770
Rafael Cabral Barbosa,40774
Paulo Henrique Chagas de Lima,40800
Anga Dedryck Boyata,8034
Felipe Anderson Pereira Gomes,40806
Neymar da Silva Santos Junior,40810
Sehrou Guirassy,263490
Salomon Junior Sambia,335763
Jack Butland,8094
Borja Valero Iglesias,3543
José Miguel da Rocha Fonte,8126
Iago Falqué Silva,8148
Fabrizio Caligara,434142
Martin Olsson,8192
Giovanni Crociata,368642
Steven N'Kemboanza Mike Christopher N'Zonzi,8200
Rubén  Rochina Naixes,8213
Ragnar Sigurðsson,55983
Marouane Fellaini-Bakkioui,8249
Rafael Tolói,41034
Benoît Assou-Ekotto,8268
Kyle Walker,8277
Gareth Frank Bale,8278
Luka Modrić,8287
Thiago Henrique Mendes Ribeiro,41056
Sandro  Ranieri Guimarães Cordeiro,8291
Danny Rose,8292
Giovani dos Santos Ramírez,8297
Aleksandar Kolarov,8306
Vincent Kompany,8307
Karim Rekik,8309
Stefan Savić,8311
Nigel de Jong,8315
David Josué Jiménez Silva,8317
Denis Suárez Fernández,8323
Sergio Leonel Agüero del Castillo,8325
Mario  Barwuah Balotelli,8326
Edin Džeko,8327
Pablo Nascimento Castro,41127
Mile Jedinak,8410
Cristian David Pavón,285396
Fabian Delph,8464
Ogenyi Eddy Onazi,139548
Kasper Schmeichel,8480
Simon Mignolet,8514
Ahmed Eissa  El Mohamady Abdel Fattah,8525
Sebastian Larsson,8529
Stéphane Sessègnon,8533
Gabriel Armando de Abreu,41363
Victor Moses,8625
Franco Matías Di Santo,8628
Harry  Maguire,8653
Guilherme Antonio Arana Lopes,336371
Harry Kane,8717
Diego Carlos Santos Silva,270866
Niccolò Zanellato,402014
Bright Gyamfi,402017
Alexander Kačaniklić,8899
Kieran Trippier,8945
Kamil Grosicki,33032
Marko Dmitrović,140046
Andrija Živković,140085
Nemanja Radoja,140125
Adel Taarabt,9080
Corentin Jean,134512
Kelechi Promise Iheanacho,285508
José Rodolfo Pires Ribeiro,41904
Robin Koch,336829
Kenneth Josiah Omeruo,12
Niklas Stark,173212
Marc Stendera,173213
Timo Werner,173214
John Stones,9380
Douglas dos Santos Justino de Melo,143566
Yevhen Seleznyov,105344
Diego Sebastián Laxalt Suárez,116269
Romain Caumet,501018
Rolando Aarons,337225
Kenan Karaman,165431
Frédéric Guilbert,28908
Péter Gulácsi,9611
Nikola Kalinić,105376
Senna Miangue,402898
Mattéo Ahlinvi,501205
Mauro Emanuel Icardi Rivero ,206314
Davide Biraschi,206318
Sébastien Salles Lamonge,271888
Marcel Tisserand,149091
Milot Rashica,239191
Lucas Höler,271990
Berkay Özcan,345707
Enzo Loiodice,566942
Simone Scuffet,239288
Elio Capradossi,239290
José Mauri,239294
Vittorio Parigini,239295
Federico Bonazzoli,239298
Pontus Jansson,50806
Pa Momodou Konate,50807
Facundo Julián Píriz González,116345
Florian Müller,337647
Ohis Felix Uduokhai,337682
Syam Ben Youssef,10014
Cedric Teuchert,337732
Victor James Osimhen,403273
Mohamed Dräger,272234
Jean Eudès Aholou,141172
Justin Hoffmanns,337781
Ahmed Benali,10113
Jordan Pickford,10131
Gianluca Gaudino,272280
Lukas Klünter,272338
Maximilian Mittelstädt,337890
Mahmoud Dahoud,272363
Elvis Rexhbecaj,337903
Dominik Reimann,272373
Mauro Daniel Goicoechea Furia,116393
Rogério Oliveira da Silva,403449
Valère Pollet,436250
Marco Richter,337960
Gabriel Appelt Pires,43051
Waldemar Anton,272434
Timo Hübers,272435
Noah-Joel Sarenren-Bazee,272436
Maximilian Eggestein,272440
Seung-Woo Lee,403546
Ögmundur Kristinsson,206994
Carlos Joaquín Correa,207001
Wergiton do Rosário Calmon,43196
Zakaria Bakkali,239843
Emmanuel Okyere Boateng,338201
Fábio Henrique Tavares,207143
Papa Alioune N'Diaye,207164
Gil Bastião Dias,338249
Allan Marques Loureiro,40726
Jan Bednarek,240032
Dawid Kownacki,240042
Wilder José Cartagena Mendoza,139080
Andrea Nalini,272878
Andrei Girotto,43515
Kwang-Song Han,404209
Alban Lafont,404213
Gaëtan Poussin,404214
Boubacar Kamara,404216
Mickaël Cuisance,404219
Myziane Maolida,404226
Ervin Taha,404227
Hicham Mahou,437011
Jesús Joaquín Fernández Sáez de la Torre,11063
Raheem Shaquille Sterling,11066
Andreas Hoelgebaum Pereira,240445
William Troost-Ekong,11093
Milos Veljkovic,11095
Pape Sane Mbodji,404333
Moussa Sidi Yaya Dembélé,11152
Bryan Ruiz González,11155
Marcello Trotta,11156
Víctor Moya Martínez,400558
Yuri Zhirkov,101857
Iver Fossum,208089
Bruno da Silva Peres,44251
Salih Özcan,356903
Mattia Vitale,339192
Duško Tošić,127530
Dzenis Burnic,356908
Pylyp Budkivskyi,138457
Luka Milivojević,127537
Jessy Deminguet,437636
Miguel Ângelo da Silva Rocha,273819
Bertrand Isidore Traoré,142755
Vitor Hugo Franchescoli de Souza,44510
Lemouya Goudiaby,470517
Marcel Benger,372316
Siriki Sanogo,564512
Alberto López Jiménez,470756
Gylfi Þór Sigurðsson,77558
Valentino Lazaro,208652
Rodrigo Ely,208694
Matteo Politano,208696
Alessandro Schöpf,208716
Alejandro Berenguer Remiro,339791
Rodrigue Casimir Ninga,143189
Pape Cheik Diop Gueye,339812
Killian Sanson,372627
Baptiste Santamaria,274344
Seybou Koita,274345
Patrik Carlgren,51188
Nick Pope,12242
Bartolomeu Jacinto Quissanga,208865
Saeid Ezatolahi Afagh,241647
Yoann Salmier,339964
Enes Ünal,274435
Guido Guerrieri,241675
Roberto Gagliardini,241676
Carlos Soler Barragán,372752
Francisco Javier Guerrero Martín,372753
Gerson Santos da Silva,340019
Adam Masina,232822
Alessandro Bastoni,405597
Mirko Antonucci,405602
Kévin Manuel Rodrigues,209012
Farid Boulaya,209014
Adrien Thomasson,209028
Vasilije Janjičić,444439
Anthony Maisonnial,340108
Kouadio Yves Dabila,372904
Amine Harit,372915
Morgan Sanson,209086
Corentin Tolisso,209091
Abdallah N'Dour,209095
Adrien Rabiot,209117
