ï»¿Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions
Ralf FÃ¤hrmann,Ralf Sebastian FÃ¤hrmann,0.1344165334475059,1300000,2020-2021,33.0,1.97,Goalkeeper,right,Bundesliga,2.5771044808555605,6.211622430878541,4.200062543217724,61.65058544590097,0.1303788816076455,0.1303788816076455,0.7170838488420506,0.1303788816076455,12.665377070456996,0.1769427678960904,0.1303788816076455,0.0465638862884448,0.0,23.28194314422242,0.0536896766844908,0.4080415428021304,0.1073793533689817,1.80667878799166,0.2514449859576022,-0.3352599812768028,5.624917463644136,17.740840675897484,29.521503906874027,28.683353953682023,5.187216932532755,39.765558890331896,34.92291471633363,8.176618432250914,62.581863171669866,45.26009747236839,10.048486661046397,0.577392189976716,5.401410809459601,0.8008988441612512,13.503527023649005
Ralf FÃ¤hrmann,Ralf Sebastian FÃ¤hrmann,0.1466217391853527,7166666,2018-2019,31.0,1.97,Goalkeeper,right,Bundesliga,1.707331718566809,4.563260856267594,3.25015926293345,65.18944080382278,0.2328194314422242,0.1676299906384014,0.5122027491728933,0.1676299906384014,17.50802124445526,0.1117533270922676,0.1117533270922676,0.0,0.0,0.0,0.064427612021389,0.2684483834224542,0.064427612021389,1.452793252199479,0.298008872246047,0.0186255545153779,6.5003185258669,14.6024347400563,41.44185879671591,22.59279762715344,3.8834281164563,43.02503093052304,37.80987566621721,6.733137957309124,57.64609122509471,46.0051196529835,7.869296782747177,0.6891455170689836,8.102116214189401,0.8567755077073851,16.017976883225025
Ralf FÃ¤hrmann,Ralf Sebastian FÃ¤hrmann,0.1849673108695518,11333333,2017-2018,30.0,1.97,Goalkeeper,right,Bundesliga,1.1811728870587987,3.3619125900257174,2.421322086999132,66.95886848278369,0.5028899719152043,0.2514449859576022,0.1955683224114683,0.3631983130498697,35.57480912437186,0.1676299906384014,0.0838149953192007,0.0558766635461338,0.0322138060106945,37.25110903075587,0.0,0.0966414180320835,0.0322138060106945,0.9219649485112078,0.2421322086999131,-0.0745022180615117,5.000961387378976,13.79222311863736,33.80538144541095,19.435766136796875,3.3898509217987844,46.47075851586795,38.275514529101656,6.034679662982452,63.04750203455431,47.21578069648307,8.064865105158646,1.0244054983457866,11.92035488984188,0.4190749765960035,13.317271478495224
RÃ©gis Gurtner,RÃ©gis Gurtner,0.0874828091218479,1150000,2019-2020,34.0,1.82,Goalkeeper,right,Ligue 1,2.090848973335984,4.280557856706469,2.816607069712857,55.6472521371841,0.1198556199877811,0.3338835128231046,0.3938113228169952,0.1541000828414329,15.32439712700916,0.0342444628536517,0.0342444628536517,0.0,0.0,0.0,0.0467228820857203,0.5373131439857836,0.0467228820857203,1.2499228941582892,0.2482723556889752,-0.2482723556889752,7.062920463565675,15.93223634266148,37.92574261041932,17.336259319661202,2.9022182268469865,47.68541452371007,37.32646451048041,7.764931952065535,69.08820380724242,47.42858105230768,8.227232200589834,0.4623002485242987,4.7942247995112455,0.3338835128231046,11.728728527375726
RÃ©gis Gurtner,RÃ©gis Gurtner,0.1511701301624154,2250000,2018-2019,33.0,1.82,Goalkeeper,right,Ligue 1,1.6002587114359206,3.492935211072479,2.457040209749513,60.18464346529296,0.2054667771219105,0.2482723556889752,0.4023724385304081,0.2482723556889752,24.741624411763397,0.2054667771219105,0.136977851414607,0.0428055785670647,0.0350421615642902,21.402789283532343,0.0934457641714406,0.2452951309500316,0.0584036026071503,1.104383927030269,0.2397112399755623,-0.0171222314268258,6.823209223590112,18.31222651099028,31.93296161103026,18.62898779238656,1.9176899198044983,54.10625130876978,41.17896658151624,7.25126500926076,77.13565257785058,53.16452858029435,8.15874327488253,0.5393502899450151,5.650336370852539,0.4708613642377117,12.49922894158289
RÃ©gis Gurtner,RÃ©gis Gurtner,0.2069277936340008,2500000,2017-2018,32.0,1.82,Goalkeeper,right,Ligue 1,1.296559977878739,4.117896658151623,3.2617850868103297,67.80403645023048,0.273955702829214,0.2054667771219105,0.3681279756767563,0.2568334714023881,25.426513668836428,0.0941722728475423,0.0941722728475423,0.0,0.0,0.0,0.0,0.0584036026071503,0.0,1.1643117370241598,0.2311501242621493,0.2225890085487364,5.693141949419605,16.77122568257595,29.022182268469862,17.09654807968564,1.6437342169752842,53.50697320883087,40.40846616730907,6.223931123651206,83.72771167717855,56.16091907998887,10.992472576022214,0.8304282242010551,6.506447942193834,0.4879835956645375,12.75606241298528
RÃ©my Vercoutre,RÃ©my Vercoutre,0.1571154586312952,250000,2017-2018,38.0,1.85,Goalkeeper,right,Ligue 1,1.6236201524787806,3.304590665377394,2.311501242621494,57.27386412273257,0.2225890085487364,0.1712223142682588,0.4708613642377117,0.273955702829214,26.881903340116622,0.1027333885609552,0.1027333885609552,0.0,0.0,0.0,0.0,0.1985722488643113,0.1401686462571609,0.967406075615662,0.2311501242621493,-0.1198556199877811,7.525220712089973,16.31748654976506,39.46674343883365,17.678703948197718,1.8406398783837816,58.814864951146895,43.23363435273534,4.366169013840598,81.75865506309357,55.30480750864758,8.937804804803108,0.8218671084876421,7.876226456339904,0.419494669957234,12.413617784448762
RenÃ© Adler,RenÃ© Adler,0.1549177870086024,1250000,2017-2018,33.0,1.91,Goalkeeper,right,Bundesliga,1.385193658459864,3.3898509217987844,2.2630048736184194,62.11622430878542,0.3352599812768028,0.1955683224114683,0.4004494220806256,0.27007054047298,26.634542956990447,0.1303788816076455,0.0651894408038227,0.0,0.0751655473582871,0.0,0.0,0.3865656721283341,0.0,1.229286598014944,0.3352599812768028,0.0372511090307558,5.587666354613381,14.499994190221724,35.85419244210252,19.68721112275448,2.663454295699045,44.70133083690705,37.9030034387941,5.988115776694006,78.5998400548949,57.08732458963337,8.651570072393051,0.596017744492094,6.4258163078053885,0.8008988441612512,14.80731583972546
Rob Elliot,Robert Elliot,0.195151401846678,1500000,2017-2018,32.0,1.9,Goalkeeper,left,Premier League,1.3148486135758413,3.9852496674498368,2.7996378913835103,68.54629428013719,0.3088568492273623,0.1295206141921197,0.5579349534429772,0.1892993592038672,18.730673437014232,0.1295206141921197,0.0597787450117475,0.0597787450117475,0.0,49.81562084312296,0.0,0.1907032340300838,0.060222073904237,1.2752798935839478,0.2988937250587377,0.0298893725058737,10.401501632044074,24.04101861889114,43.14032765014448,23.54286241045991,3.048715995599125,67.45035062158848,49.81562084312296,9.903345423612844,81.49835569934916,59.47985128668881,11.706670898133895,0.7472343126468444,6.37639946791974,0.438377463419482,12.155011485722
Roberto SantamarÃ­a,Roberto SantamarÃ­a CipriÃ¡n,0.1603638036492096,300000,2018-2019,34.0,1.83,Goalkeeper,right,La Liga,1.5,4.45,3.2,73.0,0.25,0.35,0.4,0.3,30.0,0.3,0.3,0.0,0.0,0.0,0.05,0.0,0.05,1.63,0.32,0.18,10.75,24.65,43.6,20.9,2.0,79.9,56.9,8.4,94.6,67.4,10.0,0.65,6.5,0.4,13.7
