Player,League,Season,Gen_Pos
Renato Sanches,Ligue 1,2020-2021,Midfielder
Domagoj Bradaric,Ligue 1,2020-2021,Full-Back
Xeka,Ligue 1,2020-2021,Midfielder
Tiago Djaló,Ligue 1,2020-2021,Centre-Back
Timothy Weah,Ligue 1,2020-2021,Striker
Sven Ulreich,Bundesliga,2017-2018,Goalkeeper
Joshua Kimmich,Bundesliga,2017-2018,Midfielder
Mats Hummels,Bundesliga,2017-2018,Centre-Back
Robert Lewandowski,Bundesliga,2017-2018,Striker
Thomas Müller,Bundesliga,2017-2018,Striker
Niklas Süle,Bundesliga,2017-2018,Centre-Back
Rafinha,Bundesliga,2017-2018,Full-Back
Jérôme Boateng,Bundesliga,2017-2018,Centre-Back
James Rodríguez,Bundesliga,2017-2018,Midfielder
Arjen Robben,Bundesliga,2017-2018,Winger
Javi Martínez,Bundesliga,2017-2018,Midfielder
Corentin Tolisso,Bundesliga,2017-2018,Midfielder
David Alaba,Bundesliga,2017-2018,Centre-Back
Arturo Vidal,Bundesliga,2017-2018,Midfielder
Sebastian Rudy,Bundesliga,2017-2018,Midfielder
Franck Ribéry,Bundesliga,2017-2018,Winger
Thiago Alcántara,Bundesliga,2017-2018,Midfielder
Juan Bernat,Bundesliga,2017-2018,Full-Back
Kingsley Coman,Bundesliga,2017-2018,Winger
Sandro Wagner,Bundesliga,2017-2018,Striker
Joshua Kimmich,Bundesliga,2018-2019,Midfielder
Robert Lewandowski,Bundesliga,2018-2019,Striker
Niklas Süle,Bundesliga,2018-2019,Centre-Back
David Alaba,Bundesliga,2018-2019,Centre-Back
Thomas Müller,Bundesliga,2018-2019,Striker
Thiago Alcántara,Bundesliga,2018-2019,Midfielder
Manuel Neuer,Bundesliga,2018-2019,Goalkeeper
Leon Goretzka,Bundesliga,2018-2019,Midfielder
Serge Gnabry,Bundesliga,2018-2019,Winger
Mats Hummels,Bundesliga,2018-2019,Centre-Back
Jérôme Boateng,Bundesliga,2018-2019,Centre-Back
Kingsley Coman,Bundesliga,2018-2019,Winger
Javi Martínez,Bundesliga,2018-2019,Midfielder
James Rodríguez,Bundesliga,2018-2019,Midfielder
Franck Ribéry,Bundesliga,2018-2019,Winger
Rafinha,Bundesliga,2018-2019,Full-Back
Arjen Robben,Bundesliga,2018-2019,Winger
Renato Sanches,Bundesliga,2018-2019,Midfielder
Manuel Neuer,Bundesliga,2019-2020,Goalkeeper
Joshua Kimmich,Bundesliga,2019-2020,Midfielder
Benjamin Pavard,Bundesliga,2019-2020,Full-Back
Robert Lewandowski,Bundesliga,2019-2020,Striker
David Alaba,Bundesliga,2019-2020,Centre-Back
Thomas Müller,Bundesliga,2019-2020,Striker
Serge Gnabry,Bundesliga,2019-2020,Winger
Alphonso Davies,Bundesliga,2019-2020,Full-Back
Jérôme Boateng,Bundesliga,2019-2020,Centre-Back
Thiago Alcántara,Bundesliga,2019-2020,Midfielder
Leon Goretzka,Bundesliga,2019-2020,Midfielder
Kingsley Coman,Bundesliga,2019-2020,Winger
Philippe Coutinho,Bundesliga,2019-2020,Midfielder
Ivan Perišić,Bundesliga,2019-2020,Winger
Lucas Hernández,Bundesliga,2019-2020,Centre-Back
Corentin Tolisso,Bundesliga,2019-2020,Midfielder
Javi Martínez,Bundesliga,2019-2020,Midfielder
Manuel Neuer,Bundesliga,2020-2021,Goalkeeper
Thomas Müller,Bundesliga,2020-2021,Striker
David Alaba,Bundesliga,2020-2021,Centre-Back
Jérôme Boateng,Bundesliga,2020-2021,Centre-Back
Robert Lewandowski,Bundesliga,2020-2021,Striker
Joshua Kimmich,Bundesliga,2020-2021,Midfielder
Kingsley Coman,Bundesliga,2020-2021,Winger
Benjamin Pavard,Bundesliga,2020-2021,Full-Back
Alphonso Davies,Bundesliga,2020-2021,Full-Back
Serge Gnabry,Bundesliga,2020-2021,Winger
Leroy Sané,Bundesliga,2020-2021,Winger
Leon Goretzka,Bundesliga,2020-2021,Midfielder
Lucas Hernández,Bundesliga,2020-2021,Centre-Back
Niklas Süle,Bundesliga,2020-2021,Centre-Back
Eric Maxim Choupo-Moting,Bundesliga,2020-2021,Striker
Jamal Musiala,Bundesliga,2020-2021,Midfielder
Corentin Tolisso,Bundesliga,2020-2021,Midfielder
Bouna Sarr,Bundesliga,2020-2021,Full-Back
Javi Martínez,Bundesliga,2020-2021,Midfielder
Chris Richards,Bundesliga,2020-2021,Centre-Back
