Player,League,Season
Clément Lenglet,La Liga,2018-2019
Arturo Vidal,La Liga,2018-2019
Ousmane Dembélé,La Liga,2018-2019
Nélson Semedo,La Liga,2018-2019
Arthur Melo,La Liga,2018-2019
Samuel Umtiti,La Liga,2018-2019
Thomas Vermaelen,La Liga,2018-2019
Carles Aleñá,La Liga,2018-2019
Malcom,La Liga,2018-2019
Jasper Cillessen,La Liga,2018-2019
Kevin-Prince Boateng,La Liga,2018-2019
Rafinha,La Liga,2018-2019
Moussa Wagué,La Liga,2018-2019
Jean-Clair Todibo,La Liga,2018-2019
Riqui Puig,La Liga,2018-2019
Munir El Haddadi,La Liga,2018-2019
Jeison Murillo,La Liga,2018-2019
Álex Collado,La Liga,2018-2019
Abel Ruiz,La Liga,2018-2019
Denis Suárez,La Liga,2018-2019
Carles Pérez,La Liga,2018-2019
Karim Benzema,La Liga,2019-2020
Casemiro,La Liga,2019-2020
Sergio Ramos,La Liga,2019-2020
Thibaut Courtois,La Liga,2019-2020
Raphaël Varane,La Liga,2019-2020
Dani Carvajal,La Liga,2019-2020
Toni Kroos,La Liga,2019-2020
Luka Modrić,La Liga,2019-2020
Federico Valverde,La Liga,2019-2020
Ferland Mendy,La Liga,2019-2020
Marcelo,La Liga,2019-2020
Isco,La Liga,2019-2020
Eden Hazard,La Liga,2019-2020
Vinicius Júnior,La Liga,2019-2020
Gareth Bale,La Liga,2019-2020
Rodrygo,La Liga,2019-2020
Éder Militão,La Liga,2019-2020
Lucas Vázquez,La Liga,2019-2020
James Rodríguez,La Liga,2019-2020
Nacho,La Liga,2019-2020
Luka Jović,La Liga,2019-2020
Alphonse Areola,La Liga,2019-2020
Álvaro Odriozola,La Liga,2019-2020
Marco Asensio,La Liga,2019-2020
Brahim Díaz,La Liga,2019-2020
Mariano,La Liga,2019-2020
Jan Oblak,La Liga,2020-2021
Koke,La Liga,2020-2021
Marcos Llorente,La Liga,2020-2021
Stefan Savić,La Liga,2020-2021
Mario Hermoso,La Liga,2020-2021
Luis Suárez,La Liga,2020-2021
Ángel Correa,La Liga,2020-2021
Kieran Trippier,La Liga,2020-2021
Yannick Carrasco,La Liga,2020-2021
Felipe,La Liga,2020-2021
Saúl Ñíguez,La Liga,2020-2021
José María Giménez,La Liga,2020-2021
Thomas Lemar,La Liga,2020-2021
João Félix,La Liga,2020-2021
Renan Lodi,La Liga,2020-2021
Héctor Herrera,La Liga,2020-2021
Šime Vrsaljko,La Liga,2020-2021
Geoffrey Kondogbia,La Liga,2020-2021
Lucas Torreira,La Liga,2020-2021
Vitolo,La Liga,2020-2021
Diego Costa,La Liga,2020-2021
Thomas Partey,La Liga,2020-2021
Manuel Sánchez,La Liga,2020-2021
Moussa Dembélé,La Liga,2020-2021
Ricard,La Liga,2020-2021
Alphonse Areola,Ligue 1,2017-2018
Edinson Cavani,Ligue 1,2017-2018
Presnel Kimpembe,Ligue 1,2017-2018
Adrien Rabiot,Ligue 1,2017-2018
Ángel Di María,Ligue 1,2017-2018
Marquinhos,Ligue 1,2017-2018
Thiago Silva,Ligue 1,2017-2018
Kylian Mbappé,Ligue 1,2017-2018
Dani Alves,Ligue 1,2017-2018
Neymar,Ligue 1,2017-2018
Marco Verratti,Ligue 1,2017-2018
Yuri Berchiche,Ligue 1,2017-2018
Julian Draxler,Ligue 1,2017-2018
Layvin Kurzawa,Ligue 1,2017-2018
Giovani Lo Celso,Ligue 1,2017-2018
Thomas Meunier,Ligue 1,2017-2018
Javier Pastore,Ligue 1,2017-2018
Thiago Motta,Ligue 1,2017-2018
Lassana Diarra,Ligue 1,2017-2018
Christopher Nkunku,Ligue 1,2017-2018
Kevin Trapp,Ligue 1,2017-2018
Timothy Weah,Ligue 1,2017-2018
Lucas Moura,Ligue 1,2017-2018
Blaise Matuidi,Ligue 1,2017-2018
Stanley N'Soki,Ligue 1,2017-2018
Yacine Adli,Ligue 1,2017-2018
Kévin Rimane,Ligue 1,2017-2018
Gonçalo Guedes,Ligue 1,2017-2018
Marquinhos,Ligue 1,2018-2019
Ángel Di María,Ligue 1,2018-2019
Kylian Mbappé,Ligue 1,2018-2019
Thiago Silva,Ligue 1,2018-2019
Presnel Kimpembe,Ligue 1,2018-2019
Marco Verratti,Ligue 1,2018-2019
Julian Draxler,Ligue 1,2018-2019
Alphonse Areola,Ligue 1,2018-2019
Juan Bernat,Ligue 1,2018-2019
Edinson Cavani,Ligue 1,2018-2019
Thilo Kehrer,Ligue 1,2018-2019
Dani Alves,Ligue 1,2018-2019
Thomas Meunier,Ligue 1,2018-2019
Gianluigi Buffon,Ligue 1,2018-2019
Neymar,Ligue 1,2018-2019
Leandro Paredes,Ligue 1,2018-2019
Christopher Nkunku,Ligue 1,2018-2019
Adrien Rabiot,Ligue 1,2018-2019
Layvin Kurzawa,Ligue 1,2018-2019
Moussa Diaby,Ligue 1,2018-2019
Colin Dagba,Ligue 1,2018-2019
Eric Maxim Choupo-Moting,Ligue 1,2018-2019
Stanley N'Soki,Ligue 1,2018-2019
Loïc Mbe Soh,Ligue 1,2018-2019
Antoine Bernede,Ligue 1,2018-2019
Lassana Diarra,Ligue 1,2018-2019
Timothy Weah,Ligue 1,2018-2019
Metehan Güçlü,Ligue 1,2018-2019
Giovani Lo Celso,Ligue 1,2018-2019
Kévin Rimane,Ligue 1,2018-2019
Ángel Di María,Ligue 1,2019-2020
Keylor Navas,Ligue 1,2019-2020
Thiago Silva,Ligue 1,2019-2020
Idrissa Gana Gueye,Ligue 1,2019-2020
Kylian Mbappé,Ligue 1,2019-2020
Juan Bernat,Ligue 1,2019-2020
Marco Verratti,Ligue 1,2019-2020
Marquinhos,Ligue 1,2019-2020
Neymar,Ligue 1,2019-2020
Mauro Icardi,Ligue 1,2019-2020
Thomas Meunier,Ligue 1,2019-2020
Presnel Kimpembe,Ligue 1,2019-2020
Abdou Diallo,Ligue 1,2019-2020
Pablo Sarabia,Ligue 1,2019-2020
Layvin Kurzawa,Ligue 1,2019-2020
Leandro Paredes,Ligue 1,2019-2020
Julian Draxler,Ligue 1,2019-2020
Colin Dagba,Ligue 1,2019-2020
Edinson Cavani,Ligue 1,2019-2020
Ander Herrera,Ligue 1,2019-2020
Thilo Kehrer,Ligue 1,2019-2020
Eric Maxim Choupo-Moting,Ligue 1,2019-2020
Nianzou Kouassi,Ligue 1,2019-2020
Alphonse Areola,Ligue 1,2019-2020
Sergio Rico,Ligue 1,2019-2020
Mitchel Bakker,Ligue 1,2019-2020
Marcin Bułka,Ligue 1,2019-2020
Adil Aouchiche,Ligue 1,2019-2020
Loïc Mbe Soh,Ligue 1,2019-2020
Arthur Zagre,Ligue 1,2019-2020
Jesé,Ligue 1,2019-2020
Mike Maignan,Ligue 1,2020-2021
Sven Botman,Ligue 1,2020-2021
José Fonte,Ligue 1,2020-2021
Benjamin André,Ligue 1,2020-2021
Jonathan Bamba,Ligue 1,2020-2021
Jonathan David,Ligue 1,2020-2021
Zeki Çelik,Ligue 1,2020-2021
Jonathan Ikone,Ligue 1,2020-2021
Reinildo Mandava,Ligue 1,2020-2021
Burak Yılmaz,Ligue 1,2020-2021
Boubakary Soumaré,Ligue 1,2020-2021
Luiz Araújo,Ligue 1,2020-2021
Renato Sanches,Ligue 1,2020-2021
Domagoj Bradarić,Ligue 1,2020-2021
Xeka,Ligue 1,2020-2021
Yusuf Yazıcı,Ligue 1,2020-2021
Tiago Djaló,Ligue 1,2020-2021
Timothy Weah,Ligue 1,2020-2021
Jérémy Pied,Ligue 1,2020-2021
Isaac Lihadji,Ligue 1,2020-2021
Adama Soumaoro,Ligue 1,2020-2021
Sven Ulreich,Bundesliga,2017-2018
Joshua Kimmich,Bundesliga,2017-2018
Mats Hummels,Bundesliga,2017-2018
Robert Lewandowski,Bundesliga,2017-2018
Thomas Müller,Bundesliga,2017-2018
Niklas Süle,Bundesliga,2017-2018
Rafinha,Bundesliga,2017-2018
Jérôme Boateng,Bundesliga,2017-2018
James Rodríguez,Bundesliga,2017-2018
Arjen Robben,Bundesliga,2017-2018
Javi Martínez,Bundesliga,2017-2018
Corentin Tolisso,Bundesliga,2017-2018
David Alaba,Bundesliga,2017-2018
Arturo Vidal,Bundesliga,2017-2018
Sebastian Rudy,Bundesliga,2017-2018
Franck Ribéry,Bundesliga,2017-2018
Thiago Alcántara,Bundesliga,2017-2018
Juan Bernat,Bundesliga,2017-2018
Kingsley Coman,Bundesliga,2017-2018
Sandro Wagner,Bundesliga,2017-2018
Manuel Neuer,Bundesliga,2017-2018
Lars Lukas Mai,Bundesliga,2017-2018
Tom Starke,Bundesliga,2017-2018
