Player_SN,Player_LN,ratings_mean,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Lorenzo De Silvestri,Lorenzo De Silvestri,0.0404636276074666,3750000,2017-2018,31,1.86,Right-Back,right,Serie A,0.15,0.12,0.15,0.0,0.0,0.12,0.03,0.1,0.1,0.06,0.16,0.15,0.76,0.37,48.0,0.2,0.42,11.5,0.0,0.0,0.0,0.1,0.1,0.13,0.05,0.05,37.71,52.57,71.7,650.65,299.97,16.6,19.55,84.9,17.21,23.45,73.4,3.2,7.55,42.3,0.12,0.06,0.52,2.74,0.76,0.43,3.29,52.57,41.63,10.93,0.37,0.0,6.82,0.76,1.95,0.0,0.0,0.0,0.0,25.22,10.23,17.12,3.14,33.26,3.99,10.57,0.18,37.71,0.18,1.4,1.04,2.01,1.34,1.04,0.12,0.03,0.09,0.0,0.06,0.18,0.15,0.0,0.0,0.03,0.0,0.0,0.97,0.55,0.52,0.37,0.09,0.4,0.97,40.6,0.58,11.45,3.38,29.5,4.69,4.75,2.01,2.16,0.34,0.03,1.83,0.43,1.4,4.78,0.0,64.17,4.54,21.62,31.13,15.38,1.52,53.39,0.46,0.94,48.4,0.49,0.0,32.92,185.39,101.06,3.38,1.31,0.06,0.79,0.67,38.65,35.6,92.1,1.77,0.12,0.03,0.03,1.49,0.7,0.09,1.95,0.43,0.55,0.0,0.06,0.0,8.35,2.68,1.1,71.0
Lorenzo Del Pinto,Lorenzo Del Pinto,0.004638858263935,400000,2017-2018,28,1.8,Central Midfield,right,Serie A,0.0,0.12,0.0,0.0,0.0,0.71,0.0,0.02,0.02,0.02,0.05,0.0,0.71,0.24,33.3,0.0,0.0,19.4,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02,38.3,46.96,81.6,659.41,113.0,18.5,21.23,87.2,16.25,19.21,84.6,3.2,5.45,58.7,0.12,0.02,0.59,3.44,0.36,0.0,2.49,46.96,46.6,0.36,0.24,0.0,8.77,0.36,0.12,0.0,0.0,0.0,0.0,36.17,4.86,5.93,6.52,37.59,2.02,0.0,0.24,38.3,0.0,0.36,0.83,1.19,1.3,0.95,0.0,0.0,0.12,0.24,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,2.49,1.54,0.83,1.19,0.47,0.71,3.08,23.1,2.37,27.51,7.0,25.4,10.79,13.28,3.44,2.02,0.47,0.0,1.54,1.42,3.91,0.95,0.0,58.34,3.08,15.18,33.91,11.74,1.42,57.98,0.59,0.95,62.5,0.59,0.0,40.2,147.87,59.88,2.37,0.71,0.12,1.07,1.42,39.96,37.0,92.6,2.25,0.71,0.0,0.0,3.44,1.9,0.0,0.12,1.42,1.54,0.0,0.12,0.0,11.5,0.71,1.54,31.6
Lorenzo Insigne,Lorenzo Insigne,0.0581856200097746,53333333,2017-2018,28,1.63,Left Winger,right,Serie A,0.23,0.32,0.2,0.03,0.03,0.12,0.0,0.42,0.4,0.26,0.66,0.23,5.18,1.8,34.8,0.04,0.11,18.8,0.12,0.03,0.03,0.42,0.4,0.08,-0.18,-0.19,61.4,73.68,83.3,865.9,178.14,40.48,44.99,90.0,16.91,20.31,83.2,2.94,6.08,48.3,0.32,0.26,2.88,3.03,2.62,0.38,4.77,73.68,71.17,2.5,0.35,0.29,11.67,0.96,2.39,0.23,0.06,0.0,0.09,55.75,9.98,7.94,5.18,65.82,1.25,1.22,0.17,61.4,0.15,0.93,1.48,1.92,6.11,4.86,0.06,0.58,0.47,0.06,0.09,0.52,0.38,0.0,0.06,0.09,0.0,0.0,0.87,0.41,0.35,0.35,0.17,0.29,1.19,24.4,0.9,12.98,3.35,25.8,1.45,6.02,5.5,0.58,0.06,0.0,0.52,0.52,1.4,0.09,0.0,88.14,0.23,5.65,40.36,48.68,8.5,85.66,1.83,4.02,45.7,2.18,0.15,73.07,323.25,215.79,12.66,3.87,2.24,2.44,1.66,90.09,76.15,84.5,15.65,0.12,0.0,0.0,0.32,1.02,1.02,2.39,0.52,0.41,0.0,0.0,0.0,5.99,0.06,0.2,22.2
Lorenzo Pellegrini,Lorenzo Pellegrini,0.0284123003420052,22333333,2017-2018,22,1.86,Central Midfield,both,Serie A,0.15,0.2,0.15,0.0,0.0,0.1,0.05,0.15,0.15,0.28,0.43,0.15,2.0,1.0,50.0,0.08,0.15,19.2,0.05,0.0,0.0,0.15,0.15,0.08,0.0,0.0,39.9,50.9,78.4,756.45,234.5,16.45,19.6,83.9,17.05,20.25,84.2,5.95,9.55,62.3,0.2,0.28,2.45,5.2,1.45,0.5,5.85,50.9,47.9,3.0,0.5,0.15,7.25,1.5,1.75,2.1,0.5,0.25,0.1,35.65,6.2,9.05,4.8,43.4,1.35,0.35,0.3,39.9,0.15,1.35,1.25,1.65,4.15,2.75,0.8,0.1,0.05,0.2,0.25,0.45,0.25,0.05,0.0,0.0,0.0,0.15,2.25,1.4,0.9,0.75,0.6,0.4,1.65,24.2,1.25,20.6,5.75,27.9,4.5,10.95,5.15,1.7,0.15,0.0,1.55,1.35,3.6,0.8,0.05,64.55,1.6,9.95,35.8,23.55,2.65,61.5,1.05,1.95,53.8,1.2,0.0,46.85,247.1,118.65,5.95,2.2,0.5,2.1,1.75,52.2,45.5,87.2,6.1,0.1,0.05,0.0,1.55,1.7,0.1,1.75,1.35,1.4,0.0,0.0,0.0,8.6,1.0,0.8,55.6
Lorenzo Venuti,Lorenzo Venuti,0.0044028988902419,1250000,2017-2018,24,1.79,Right-Back,right,Serie A,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.01,0.01,0.08,0.09,0.0,0.15,0.04,25.0,0.0,0.0,13.1,0.0,0.0,0.0,0.01,0.01,0.08,-0.01,-0.01,36.08,44.66,80.8,651.92,229.74,16.68,18.6,89.7,14.8,17.32,85.4,4.18,7.27,57.5,0.04,0.08,0.79,1.92,0.53,0.34,2.41,44.66,37.51,7.15,0.72,0.0,8.13,0.75,1.21,0.08,0.0,0.0,0.04,27.53,8.47,8.66,9.94,26.02,1.62,6.36,0.11,36.08,0.11,0.9,0.75,1.39,1.54,1.13,0.19,0.08,0.0,0.08,0.08,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.85,0.79,1.21,0.41,0.23,0.53,1.62,32.6,1.09,12.8,3.69,28.8,7.42,4.1,1.28,2.6,0.72,0.08,1.88,1.17,3.01,2.86,0.04,56.03,5.54,24.1,24.59,10.47,0.6,49.22,0.68,1.13,60.0,0.79,0.04,33.25,159.85,93.84,3.92,1.17,0.23,0.72,0.72,33.67,31.37,93.2,1.05,0.15,0.0,0.0,0.75,2.03,0.08,1.21,1.17,0.79,0.0,0.0,0.04,8.21,0.75,0.94,44.4
Loïc Perrin,Loïc Bruno Perrin,0.0051827589215105,4333333,2017-2018,33,1.81,Centre-Back,right,Ligue 1,0.0,0.04,0.0,0.0,0.0,0.11,0.0,0.04,0.04,0.02,0.05,0.0,0.51,0.07,14.3,0.0,0.0,14.1,0.0,0.0,0.0,0.04,0.04,0.08,-0.04,-0.04,46.97,54.02,87.0,984.12,424.87,14.14,15.82,89.4,24.0,25.82,92.9,8.15,11.14,73.1,0.04,0.02,0.22,3.43,0.18,0.0,3.0,54.02,52.93,1.1,1.02,0.11,6.61,0.91,0.07,0.0,0.0,0.0,0.0,42.33,2.96,8.73,6.03,43.36,3.47,0.07,0.07,46.97,0.11,0.84,0.66,0.8,0.51,0.37,0.0,0.0,0.07,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.17,0.77,0.8,0.33,0.04,0.55,1.02,53.6,0.47,6.1,2.05,33.5,4.31,1.64,0.15,1.61,0.73,0.0,0.88,0.88,2.05,4.09,0.18,63.48,7.74,38.9,26.3,2.08,0.73,62.39,0.29,0.33,88.9,0.29,0.0,39.96,220.73,114.58,2.45,0.29,0.0,0.22,0.18,39.45,38.86,98.5,0.58,0.11,0.0,0.0,0.62,0.84,0.04,0.07,0.88,0.77,0.0,0.0,0.0,11.69,1.42,0.66,68.4
Luca Ceppitelli,Luca Ceppitelli,0.0375469254339625,1900000,2017-2018,29,1.86,Centre-Back,both,Serie A,0.12,0.0,0.12,0.0,0.0,0.28,0.0,0.05,0.05,0.03,0.08,0.12,0.4,0.2,50.0,0.3,0.6,7.2,0.0,0.0,0.0,0.05,0.05,0.12,0.07,0.07,36.65,46.88,78.2,891.27,360.08,9.34,10.79,86.5,16.73,19.24,87.0,10.26,15.92,64.5,0.0,0.03,0.24,3.76,0.28,0.0,2.91,46.88,45.3,1.58,1.41,0.08,6.71,2.1,0.0,0.0,0.0,0.0,0.0,25.99,5.25,15.64,10.02,31.36,3.8,0.04,0.16,36.65,0.28,1.33,0.69,0.65,0.49,0.44,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,2.34,1.37,1.78,0.53,0.04,0.49,1.25,38.7,0.77,9.66,3.88,40.2,6.22,3.15,0.28,1.78,0.81,0.0,0.97,1.21,3.56,7.19,0.04,59.16,9.13,34.35,26.96,1.41,0.73,57.67,0.32,0.36,88.9,0.32,0.0,33.1,192.0,111.74,2.59,0.08,0.0,0.32,0.24,31.36,31.0,98.8,0.57,0.28,0.0,0.0,1.66,0.73,0.0,0.0,1.21,1.37,0.0,0.08,0.04,13.26,3.52,1.17,75.0
Luca Cigarini,Luca Cigarini,0.0245267640013335,1650000,2017-2018,32,1.75,Defensive Midfield,right,Serie A,0.09,0.13,0.09,0.0,0.04,0.58,0.04,0.08,0.04,0.14,0.18,0.09,0.98,0.27,27.3,0.09,0.33,28.7,0.22,0.0,0.04,0.08,0.04,0.04,0.01,0.05,54.6,71.21,76.7,1100.03,361.82,20.97,23.19,90.4,24.17,29.36,82.3,8.84,17.46,50.6,0.13,0.14,1.73,6.13,1.16,0.09,7.02,71.21,60.9,10.31,4.75,0.04,9.64,3.64,1.11,3.69,1.16,1.16,0.22,39.71,10.84,20.66,8.13,58.73,3.02,0.22,0.36,54.6,0.31,1.16,0.84,0.84,3.02,1.38,1.33,0.0,0.18,0.13,0.0,0.27,0.0,0.13,0.0,0.09,0.04,0.0,2.58,1.64,1.11,1.2,0.27,1.07,3.73,28.6,2.67,15.9,5.06,31.8,6.04,8.08,1.78,1.95,0.18,0.0,1.78,0.84,3.42,1.24,0.04,80.98,2.35,18.97,49.66,15.99,0.44,71.12,0.67,0.8,83.3,0.67,0.04,48.07,174.49,96.71,3.38,1.2,0.13,0.62,1.02,50.11,48.11,96.0,0.8,0.58,0.04,0.04,2.49,1.42,0.04,1.11,0.84,1.64,0.0,0.0,0.0,14.3,0.84,1.2,41.3
Luca Mazzitelli,Luca Mazzitelli,0.0047378646747191,1850000,2017-2018,23,1.84,Central Midfield,right,Serie A,0.0,0.09,0.0,0.0,0.0,0.35,0.0,0.13,0.13,0.06,0.19,0.0,1.33,0.27,20.0,0.0,0.0,16.6,0.0,0.0,0.0,0.13,0.13,0.1,-0.13,-0.13,26.52,38.99,68.0,500.39,162.58,12.02,15.12,79.5,10.17,14.32,71.0,4.16,8.13,51.1,0.09,0.06,0.62,2.92,0.53,0.27,3.98,38.99,37.93,1.06,0.35,0.0,7.6,1.06,0.88,0.27,0.0,0.0,0.0,22.19,7.34,9.46,9.37,25.37,2.83,0.35,0.0,26.52,0.44,1.33,1.24,1.77,2.39,1.77,0.27,0.09,0.09,0.09,0.09,0.27,0.27,0.0,0.0,0.0,0.0,0.0,3.01,1.5,1.24,1.15,0.62,0.8,2.92,27.3,2.12,26.35,5.84,22.1,7.78,13.08,5.48,2.92,0.18,0.0,2.74,1.24,4.24,1.5,0.09,52.87,1.77,11.58,28.64,15.03,1.59,51.9,0.27,0.88,30.0,0.44,0.0,31.56,132.44,68.43,3.01,1.24,0.0,1.33,0.88,37.31,30.94,82.9,4.07,0.35,0.0,0.0,3.62,1.68,0.0,0.88,1.24,1.5,0.0,0.09,0.0,10.52,1.68,2.56,39.6
Luca Rigoni,Luca Rigoni,0.0238338885591786,1250000,2017-2018,34,1.85,Central Midfield,right,Serie A,0.11,0.11,0.11,0.0,0.0,0.29,0.0,0.22,0.22,0.11,0.33,0.11,1.03,0.57,55.6,0.11,0.2,11.9,0.0,0.0,0.0,0.22,0.22,0.21,-0.16,-0.16,25.14,31.66,79.4,457.49,133.31,11.66,13.83,84.3,9.77,11.77,83.0,3.26,4.86,67.1,0.11,0.11,0.69,2.69,0.57,0.11,3.26,31.66,31.09,0.57,0.34,0.06,3.89,1.2,0.51,0.0,0.0,0.0,0.0,19.09,5.6,6.97,2.0,26.23,2.17,0.17,0.29,25.14,0.11,0.57,0.57,0.69,1.37,1.14,0.0,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.11,1.37,0.8,1.26,0.06,0.51,1.94,26.5,1.43,20.0,6.34,31.7,5.89,11.03,3.09,1.43,0.11,0.0,1.31,0.8,2.91,0.8,0.0,40.34,1.09,7.2,23.54,11.49,2.29,39.89,0.57,0.8,71.4,0.69,0.11,25.14,108.91,56.0,2.34,0.8,0.06,0.74,0.91,31.89,25.54,80.1,4.51,0.29,0.0,0.0,2.17,1.49,0.34,0.51,0.8,1.37,0.0,0.0,0.0,8.06,0.91,1.03,47.1
Luca Rossettini,Luca Rossettini,0.0049572774592386,1700000,2017-2018,34,1.87,Centre-Back,right,Serie A,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.02,0.02,0.0,0.03,0.0,0.49,0.22,45.5,0.0,0.0,10.9,0.0,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02,37.52,45.73,82.0,835.89,240.3,8.61,9.9,87.0,21.27,23.67,89.9,7.41,11.54,64.2,0.0,0.0,0.13,2.35,0.04,0.0,2.13,45.73,44.58,1.15,0.8,0.0,4.44,1.15,0.13,0.0,0.0,0.0,0.0,31.75,4.31,9.68,6.97,34.37,2.93,0.36,0.04,37.52,0.13,1.2,0.31,0.44,0.36,0.31,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.53,0.58,0.22,0.0,0.09,0.84,10.5,0.75,9.15,3.02,33.0,5.19,3.46,0.49,1.42,0.84,0.0,0.58,0.93,1.73,6.44,0.09,56.08,7.59,29.79,27.13,2.31,0.67,54.92,0.0,0.09,0.0,0.0,0.0,31.88,166.06,93.55,2.31,0.44,0.0,0.09,0.04,33.48,32.99,98.5,0.58,0.31,0.0,0.0,1.07,0.49,0.0,0.13,0.93,0.53,0.0,0.0,0.0,11.01,2.26,1.64,58.0
Luca Waldschmidt,Gian-Luca Waldschmidt,0.0252398737673106,2000000,2017-2018,23,1.81,Second Striker,left,Bundesliga,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.35,0.21,0.11,0.34,0.11,3.17,1.13,35.7,0.04,0.1,17.5,0.11,0.0,0.11,0.35,0.21,0.07,-0.24,-0.1,20.01,28.61,70.0,319.97,93.05,11.08,14.02,79.0,6.9,9.38,73.5,1.81,3.62,50.0,0.0,0.11,1.02,1.58,0.68,0.11,2.83,28.61,27.7,0.9,0.0,0.23,7.91,0.79,0.9,0.45,0.23,0.11,0.0,20.13,5.09,3.39,21.48,5.2,0.9,0.11,0.23,20.01,0.11,0.57,0.57,1.47,2.83,1.7,0.11,0.11,0.45,0.45,0.0,0.34,0.0,0.0,0.0,0.34,0.0,0.0,0.57,0.45,0.11,0.34,0.11,0.11,1.24,9.1,1.13,18.66,5.77,30.9,3.17,10.06,5.43,1.24,0.11,0.0,1.13,0.34,0.9,0.23,0.0,42.4,0.23,3.62,21.6,20.8,4.64,41.27,1.24,2.71,45.8,1.47,0.11,31.43,150.49,79.71,4.75,1.58,0.57,2.94,1.7,44.77,30.64,68.4,10.18,0.0,0.0,0.0,2.04,1.7,0.57,0.9,0.34,0.45,0.23,0.0,0.0,7.01,0.79,1.92,29.2
Lucas Alario,Lucas Nicolás Alario,0.1230205566172493,20000000,2017-2018,26,1.84,Centre-Forward,right,Bundesliga,0.52,0.23,0.47,0.06,0.12,0.23,0.06,0.63,0.55,0.1,0.65,0.52,3.38,1.22,36.2,0.14,0.38,12.1,0.06,0.06,0.12,0.63,0.55,0.16,-0.11,-0.08,17.58,23.29,75.5,232.8,42.26,10.77,13.39,80.4,4.89,6.52,75.0,0.76,1.22,61.9,0.23,0.1,0.64,1.11,0.35,0.0,1.46,23.29,21.54,1.75,0.06,0.12,5.47,0.17,0.47,0.0,0.0,0.0,0.0,14.03,5.76,3.49,2.45,16.24,1.92,0.06,0.64,17.58,0.12,0.23,0.23,0.76,2.21,1.46,0.0,0.29,0.06,0.29,0.12,0.41,0.23,0.0,0.06,0.0,0.06,0.06,0.64,0.58,0.06,0.29,0.29,0.12,0.58,20.0,0.47,22.47,6.52,29.0,1.57,11.18,9.72,0.93,0.23,0.0,0.7,0.35,0.99,0.82,0.0,38.31,0.87,3.49,19.21,17.81,5.94,36.44,1.57,2.21,71.1,1.69,0.12,24.8,93.14,34.06,1.86,0.82,0.17,2.91,2.62,49.6,28.99,58.5,12.11,0.23,0.06,0.0,2.33,2.56,0.82,0.47,0.35,0.58,0.06,0.0,0.0,3.9,2.79,4.6,37.8
Lucas Biglia,Lucas Rodrigo Biglia,0.013759128604958,15500000,2017-2018,33,1.78,Defensive Midfield,right,Serie A,0.04,0.04,0.04,0.0,0.0,0.22,0.0,0.04,0.04,0.03,0.07,0.04,0.93,0.18,19.0,0.05,0.25,23.8,0.0,0.0,0.0,0.04,0.04,0.04,0.01,0.01,64.84,72.12,89.9,1305.55,305.22,22.38,24.67,90.7,32.22,34.74,92.8,9.75,11.61,84.0,0.04,0.03,1.19,6.09,0.62,0.04,6.84,72.12,69.74,2.38,1.99,0.0,11.3,2.69,0.13,0.13,0.04,0.0,0.0,55.39,7.9,8.83,13.59,54.29,3.05,0.22,0.35,64.84,0.18,0.62,0.88,0.79,2.43,2.12,0.09,0.0,0.09,0.13,0.0,0.18,0.13,0.0,0.0,0.04,0.0,0.0,2.38,1.81,0.93,1.15,0.31,1.15,3.4,33.8,2.25,24.19,7.24,29.9,10.02,11.7,2.47,2.21,0.53,0.0,1.68,0.75,3.13,1.41,0.0,82.1,3.4,19.91,52.66,13.64,0.35,80.16,0.49,0.71,68.8,0.49,0.0,58.44,224.05,106.55,3.97,1.28,0.09,0.57,0.79,58.57,56.94,97.2,1.15,0.22,0.0,0.0,1.63,2.07,0.0,0.13,0.75,1.81,0.0,0.0,0.0,13.99,0.66,0.75,46.9
Lucas Deaux,Lucas Deaux,0.0341543235495234,2500000,2017-2018,30,1.88,Defensive Midfield,right,Ligue 1,0.09,0.05,0.09,0.0,0.0,0.32,0.05,0.07,0.07,0.07,0.14,0.09,0.74,0.42,56.3,0.13,0.22,18.0,0.14,0.0,0.0,0.07,0.07,0.09,0.02,0.02,43.36,53.78,80.6,812.22,250.59,17.79,20.71,85.9,18.39,21.82,84.3,5.93,9.13,65.0,0.05,0.07,0.6,5.37,0.69,0.14,4.96,53.78,52.34,1.44,0.97,0.0,8.66,1.39,0.88,0.09,0.0,0.0,0.0,40.53,3.61,9.63,6.3,42.01,4.08,0.32,0.14,43.36,0.23,1.71,1.16,1.16,1.48,1.3,0.05,0.05,0.0,0.05,0.05,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.69,1.99,1.11,1.25,0.32,0.65,2.5,25.9,1.85,20.8,6.02,29.0,6.44,11.67,2.69,1.81,0.23,0.0,1.57,1.53,4.22,0.88,0.0,64.29,1.3,14.5,39.14,14.27,1.9,62.81,0.93,1.25,74.1,0.97,0.0,39.0,191.26,97.92,3.71,1.07,0.05,1.39,0.93,48.17,43.4,90.1,3.61,0.32,0.05,0.05,1.85,1.02,0.19,0.88,1.53,1.99,0.0,0.0,0.0,10.14,1.02,1.11,47.8
Lucas Digne,Lucas Digne,0.0047588915240276,15333333,2017-2018,25,1.78,Left-Back,left,La Liga,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.06,0.06,0.19,0.24,0.0,0.26,0.13,50.0,0.0,0.0,15.4,0.0,0.0,0.0,0.06,0.06,0.23,-0.06,-0.06,60.98,70.44,86.6,1024.9,341.97,28.51,32.22,88.5,28.13,31.07,90.5,4.22,5.75,73.3,0.26,0.19,0.77,4.09,0.64,0.26,4.09,70.44,61.36,9.08,1.15,0.0,10.23,0.89,2.17,0.0,0.0,0.0,0.0,51.65,12.66,6.14,55.48,3.32,2.94,7.93,0.0,60.98,0.0,0.64,1.92,1.92,1.28,1.02,0.0,0.0,0.0,0.0,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.0,2.43,1.28,1.66,0.51,0.26,0.51,0.77,66.7,0.26,15.85,6.52,41.1,7.03,5.5,3.32,2.68,0.51,0.13,2.17,2.05,4.47,1.02,0.0,80.8,3.84,26.46,35.92,22.76,2.43,71.85,0.77,1.15,66.7,0.89,0.0,49.09,248.91,138.58,7.16,1.15,0.64,0.89,0.26,53.57,48.96,91.4,4.99,0.26,0.0,0.0,1.92,1.41,0.26,2.17,2.05,1.28,0.0,0.13,0.0,10.48,0.77,0.89,46.2
Lucas Ocampos,Lucas Ariel Ocampos,0.0578529338568856,9750000,2017-2018,24,1.87,Left Winger,both,Ligue 1,0.4,0.13,0.4,0.0,0.0,0.27,0.04,0.42,0.42,0.1,0.51,0.4,2.87,0.97,33.8,0.14,0.41,15.0,0.0,0.0,0.0,0.42,0.42,0.15,-0.02,-0.02,21.9,28.97,75.6,336.55,89.38,12.23,14.75,82.9,7.24,9.58,75.6,1.81,2.83,64.1,0.13,0.1,0.97,1.68,0.75,0.27,2.08,28.97,28.17,0.79,0.09,0.0,6.14,0.53,1.37,0.0,0.0,0.0,0.0,20.8,3.44,4.73,3.05,22.08,2.34,0.71,0.13,21.9,0.09,0.88,1.1,0.93,2.87,1.81,0.0,0.35,0.35,0.27,0.09,0.35,0.27,0.0,0.0,0.09,0.0,0.0,2.96,1.85,1.24,1.41,0.31,0.71,2.65,26.7,1.94,18.11,5.26,29.0,4.59,8.17,5.34,2.83,0.27,0.0,2.56,0.97,3.93,0.57,0.0,48.05,0.97,7.6,20.98,22.83,5.34,47.38,1.94,3.67,53.0,2.08,0.04,31.62,156.02,85.14,5.17,1.46,1.1,3.31,1.99,41.11,30.12,73.3,6.45,0.27,0.04,0.0,1.68,1.99,0.27,1.37,0.97,1.85,0.04,0.04,0.0,7.55,0.66,1.81,26.8
Lucas Pérez,Lucas Pérez Martínez,0.0678289973586006,8333333,2017-2018,30,1.8,Centre-Forward,left,La Liga,0.26,0.19,0.16,0.1,0.13,0.1,0.0,0.29,0.2,0.25,0.45,0.26,1.64,0.71,43.1,0.1,0.23,15.9,0.13,0.1,0.13,0.29,0.2,0.12,-0.04,-0.04,21.24,31.63,67.1,395.07,126.42,10.3,13.29,77.5,7.53,10.3,73.1,3.15,7.43,42.4,0.19,0.25,2.38,1.48,1.35,0.35,2.57,31.63,25.13,6.5,1.19,0.06,5.37,1.87,2.51,3.41,0.32,0.23,0.1,21.24,2.96,7.43,26.1,4.15,0.74,0.39,0.16,21.24,0.26,0.9,1.06,0.84,3.7,1.87,1.25,0.29,0.13,0.16,0.0,0.35,0.16,0.1,0.0,0.03,0.06,0.0,0.42,0.29,0.13,0.1,0.19,0.06,0.97,6.7,0.9,21.27,5.24,24.7,2.93,9.17,9.17,0.55,0.1,0.0,0.45,0.42,0.84,0.03,0.0,40.16,0.32,2.09,14.38,25.87,4.15,33.59,1.06,1.87,56.9,1.13,0.03,27.93,133.18,64.1,3.8,1.22,0.71,2.06,1.35,43.05,25.84,60.0,8.56,0.1,0.0,0.0,0.9,1.0,1.19,2.51,0.42,0.29,0.1,0.0,0.0,4.79,0.13,0.48,21.1
