Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions,longName
Andrea Consigli,Andrea Consigli,0.1505573959006266,6000000,2017-2018,31.0,1.89,Goalkeeper,right,Serie A,1.57,4.67,3.17,67.4,0.3,0.27,0.43,0.27,27.0,0.08,0.05,0.03,0.0,33.3,1.57,0.05,0.08,0.27,0.03,1.41,0.29,-0.13,7.68,16.82,45.6,21.22,4.34,53.2,43.2,7.11,77.9,52.5,11.15,0.98,8.8,0.52,13.3,Andrea Consigli
Andreas Luthe,Andreas Luthe,0.2114771806391751,900000,2020-2021,34.0,1.95,Goalkeeper,right,Bundesliga,1.37,4.0,2.73,69.1,0.36,0.39,0.26,0.16,16.1,0.16,0.13,0.03,0.0,20.0,1.37,0.13,0.0,0.26,0.03,1.34,0.31,0.0,6.86,16.58,41.4,29.98,3.45,40.8,37.3,7.02,62.0,44.5,7.71,0.52,6.8,0.36,13.3,Andreas Luthe
Andreas Luthe,Andreas Luthe,0.1861450003347154,450000,2019-2020,33.0,1.95,Goalkeeper,right,Bundesliga,1.2,3.5,2.3,65.7,0.3,0.3,0.4,0.3,30.0,0.0,0.0,0.0,0.0,,1.2,0.0,0.0,0.0,0.1,1.4,0.42,0.3,7.1,19.0,37.4,32.8,5.0,43.6,39.3,9.1,51.6,43.0,11.3,1.2,10.6,0.4,13.2,Andreas Luthe
Andreas Luthe,Andreas Luthe,0.1683793214363053,850000,2018-2019,32.0,1.95,Goalkeeper,right,Bundesliga,1.51,5.29,3.85,71.4,0.21,0.34,0.41,0.14,14.3,0.0,0.0,0.0,0.0,,1.51,0.0,0.07,0.14,0.07,1.53,0.3,0.09,6.53,16.15,40.4,24.11,3.71,49.6,40.4,8.79,47.7,41.6,7.28,0.34,4.7,0.48,14.2,Andreas Luthe
Anthony Lopes,Anthony Lopes,0.2028180406112655,16333333,2020-2021,31.0,1.84,Goalkeeper,left,Ligue 1,1.13,3.42,2.47,70.8,0.58,0.26,0.16,0.29,28.9,0.21,0.13,0.05,0.03,28.6,1.13,0.13,0.05,0.11,0.05,1.14,0.3,0.06,5.63,10.71,52.6,24.37,4.76,32.7,33.4,6.58,41.6,36.8,8.11,0.42,5.2,1.03,17.1,Anthony Lopes
Anthony Lopes,Anthony Lopes,0.2189567416446,19750000,2019-2020,30.0,1.84,Goalkeeper,left,Ligue 1,0.96,3.27,2.46,72.9,0.38,0.27,0.35,0.31,30.8,0.12,0.08,0.0,0.04,0.0,0.96,0.08,0.04,0.08,0.12,0.92,0.26,0.08,4.92,10.27,47.9,24.31,5.38,30.2,32.2,7.15,40.9,38.0,8.46,0.62,7.3,0.58,14.9,Anthony Lopes
Anthony Lopes,Anthony Lopes,0.1817625687559226,23333333,2018-2019,29.0,1.84,Goalkeeper,left,Ligue 1,1.24,3.85,2.85,71.8,0.53,0.26,0.21,0.26,26.5,0.15,0.15,0.0,0.0,0.0,1.24,0.15,0.03,0.06,0.09,1.05,0.25,-0.09,4.71,10.65,44.2,24.29,4.79,32.4,33.4,7.03,39.3,40.3,7.29,0.35,4.8,0.44,14.6,Anthony Lopes
Anthony Lopes,Anthony Lopes,0.2070048500298542,19000000,2017-2018,28.0,1.84,Goalkeeper,left,Ligue 1,1.09,3.97,3.12,76.3,0.62,0.24,0.15,0.41,41.2,0.24,0.15,0.06,0.03,28.6,1.09,0.15,0.03,0.09,0.09,1.05,0.22,0.05,3.24,8.38,38.6,20.24,3.32,31.8,34.4,3.62,53.7,48.5,10.74,0.85,7.9,0.53,14.8,Anthony Lopes
Anthony Racioppi,Anthony Racioppi,0.1515102304685928,1333333,2020-2021,22.0,1.88,Goalkeeper,right,Ligue 1,1.57,4.43,2.95,67.7,0.1,0.29,0.62,0.14,14.3,0.19,0.14,0.05,0.0,25.0,1.57,0.14,0.0,0.24,0.0,1.68,0.36,0.11,5.38,15.43,34.9,22.76,4.71,42.5,37.1,8.48,68.0,49.7,9.48,0.62,6.5,0.48,14.4,Anthony Racioppi
Antonio Mirante,Antonio Mirante,0.1766471823115279,1162500,2020-2021,38.0,1.93,Goalkeeper,right,Serie A,1.48,4.22,2.81,66.7,0.47,0.23,0.31,0.39,38.5,0.23,0.16,0.08,0.0,33.3,1.48,0.16,0.08,0.0,0.0,1.24,0.25,-0.24,5.46,11.63,47.0,27.01,5.39,35.3,33.2,7.03,30.0,29.8,8.74,0.16,1.8,1.17,15.8,Antonio Mirante
