Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions,longName
Jan Oblak,Jan Oblak,0.2562753904686393,90000000,2019-2020,27.0,1.88,Goalkeeper,right,La Liga,0.72,2.78,2.17,77.1,0.48,0.42,0.11,0.45,44.7,0.11,0.08,0.0,0.03,0.0,0.72,0.08,0.03,0.11,0.08,0.67,0.22,0.03,6.95,17.39,39.9,17.13,2.94,64.4,46.9,8.32,76.4,56.5,9.2,0.5,5.5,0.45,14.0,Jan Oblak
Jan Oblak,Jan Oblak,0.2681879394523583,86666666,2018-2019,26.0,1.88,Goalkeeper,right,La Liga,0.73,3.32,2.78,82.1,0.59,0.24,0.16,0.54,54.1,0.14,0.14,0.0,0.0,0.0,0.73,0.14,0.0,0.08,0.05,0.98,0.26,0.3,6.19,16.14,38.4,15.35,2.7,61.3,46.6,7.62,88.3,62.3,9.62,0.97,10.1,0.32,14.1,Jan Oblak
Jan Oblak,Jan Oblak,0.2835324584942893,63333333,2017-2018,25.0,1.88,Goalkeeper,right,La Liga,0.59,3.35,2.81,83.1,0.59,0.27,0.14,0.59,59.5,0.11,0.03,0.08,0.0,75.0,0.59,0.03,0.03,0.05,0.03,0.86,0.23,0.29,4.46,13.32,33.5,14.49,2.05,60.8,45.5,5.57,81.1,57.7,10.03,0.76,7.5,0.22,13.5,Jan Oblak
Jasper Cillessen,Jacobus Antonius Peter Cillessen,0.2411177607397449,7600000,2020-2021,32.0,1.87,Goalkeeper,right,La Liga,1.1,4.5,3.3,77.8,0.5,0.1,0.4,0.3,30.0,0.2,0.1,0.1,0.0,50.0,1.1,0.1,0.1,0.0,0.0,1.21,0.23,0.11,7.1,19.8,35.9,22.2,4.1,59.0,45.0,9.5,70.5,54.2,12.3,0.8,6.5,0.8,13.4,Jasper Cillessen
Jasper Cillessen,Jacobus Antonius Peter Cillessen,0.1881779426502074,16250000,2019-2020,31.0,1.87,Goalkeeper,right,La Liga,1.29,4.38,3.35,76.5,0.43,0.3,0.3,0.21,20.8,0.34,0.26,0.09,0.0,25.0,1.29,0.26,0.09,0.13,0.04,1.2,0.22,-0.04,6.01,17.73,33.9,23.75,5.71,48.5,39.4,8.85,70.4,56.3,11.34,0.9,8.0,0.52,12.8,Jasper Cillessen
Jessy Moulin,Jessy Moulin,0.2394456276521048,700000,2020-2021,35.0,1.85,Goalkeeper,right,Ligue 1,1.45,3.45,2.1,62.0,0.28,0.31,0.41,0.31,31.0,0.14,0.14,0.0,0.0,0.0,1.45,0.14,0.1,0.21,0.07,1.31,0.34,-0.07,4.83,12.76,37.8,23.41,5.03,35.3,36.6,6.97,64.4,49.5,7.59,0.45,5.9,0.31,13.5,Jessy Moulin
Jiří Pavlenka,Jiří Pavlenka,0.1926595423602803,6166666,2020-2021,29.0,1.96,Goalkeeper,right,Bundesliga,1.68,4.41,2.94,64.7,0.21,0.29,0.5,0.18,17.6,0.18,0.12,0.06,0.0,33.3,1.68,0.12,0.0,0.21,0.09,1.39,0.28,-0.19,7.12,15.32,46.4,25.44,4.85,42.7,37.6,8.32,53.7,43.4,10.59,0.62,5.8,0.65,14.1,Jiří Pavlenka
Jiří Pavlenka,Jiří Pavlenka,0.0771337406170824,8166666,2019-2020,28.0,1.96,Goalkeeper,right,Bundesliga,2.03,5.15,3.21,61.2,0.24,0.18,0.58,0.12,12.1,0.03,0.03,0.0,0.0,0.0,2.03,0.03,0.03,0.39,0.09,1.48,0.28,-0.45,7.42,17.58,42.2,27.39,4.91,45.8,39.3,8.97,56.1,44.7,10.79,0.42,3.9,0.7,14.3,Jiří Pavlenka
Jiří Pavlenka,Jiří Pavlenka,0.1571833554906898,11333333,2018-2019,27.0,1.96,Goalkeeper,right,Bundesliga,1.42,4.62,3.26,71.2,0.42,0.33,0.27,0.15,14.7,0.12,0.09,0.0,0.03,0.0,1.42,0.09,0.06,0.15,0.0,1.38,0.29,-0.04,7.77,17.08,45.5,27.8,4.74,43.0,38.4,9.16,55.8,46.0,9.31,0.51,5.5,0.48,14.0,Jiří Pavlenka
Jiří Pavlenka,Jiří Pavlenka,0.2206977955838267,6125000,2017-2018,26.0,1.96,Goalkeeper,right,Bundesliga,1.18,4.62,3.5,75.8,0.29,0.35,0.35,0.24,23.5,0.12,0.06,0.03,0.03,33.3,1.18,0.06,0.0,0.18,0.06,1.3,0.26,0.18,7.35,18.03,40.8,26.5,5.15,50.9,42.4,7.18,63.1,51.7,8.29,0.53,6.4,0.41,13.3,Jiří Pavlenka
Joe Hart,Charles Joseph John Hart,0.0861669852024092,6666666,2018-2019,32.0,1.96,Goalkeeper,right,Premier League,2.16,6.05,3.84,65.2,0.16,0.16,0.68,0.21,21.1,0.11,0.05,0.05,0.0,50.0,2.16,0.05,0.05,0.42,0.05,2.03,0.32,-0.08,10.37,26.68,38.9,22.11,2.68,79.3,57.0,9.58,95.6,72.0,10.89,0.63,5.8,0.89,15.0,Joe Hart
Joe Hart,Charles Joseph John Hart,0.0559227709602478,11000000,2017-2018,31.0,1.96,Goalkeeper,right,Premier League,2.05,4.42,2.47,58.3,0.16,0.32,0.53,0.21,21.1,0.26,0.21,0.05,0.0,20.0,2.05,0.21,0.0,0.21,0.0,1.81,0.37,-0.24,9.26,25.11,36.9,23.11,2.95,74.7,54.3,8.21,95.5,70.9,9.42,0.79,8.4,0.58,13.8,Joe Hart
Jonas Lössl,Jonas Lössl,0.1084923059974729,5000000,2018-2019,30.0,1.95,Goalkeeper,right,Premier League,1.75,4.44,2.82,63.5,0.1,0.16,0.71,0.16,16.7,0.16,0.13,0.03,0.0,20.0,1.75,0.13,0.03,0.19,0.0,1.49,0.32,-0.26,10.6,22.85,46.4,28.84,3.01,59.4,45.8,7.16,79.6,60.6,7.07,0.68,9.6,0.68,14.1,Jonas Lössl
Jonas Lössl,Jonas Lössl,0.1740019702726337,3750000,2017-2018,29.0,1.95,Goalkeeper,right,Premier League,1.53,4.03,2.55,64.7,0.24,0.26,0.5,0.26,26.3,0.16,0.11,0.05,0.0,33.3,1.53,0.11,0.0,0.16,0.03,1.48,0.34,-0.02,10.82,25.34,42.7,28.42,2.84,65.1,50.3,8.08,84.7,63.1,7.55,0.66,8.7,0.89,15.4,Jonas Lössl
Jordan Pickford,Jordan Lee Pickford,0.1867346948503299,23333333,2020-2021,27.0,1.85,Goalkeeper,left,Premier League,1.28,4.2,2.95,71.1,0.49,0.16,0.36,0.33,32.3,0.1,0.07,0.0,0.03,0.0,1.28,0.07,0.03,0.16,0.03,1.27,0.29,0.02,9.03,21.33,42.3,31.02,4.43,53.3,43.4,6.79,70.5,56.5,9.68,0.79,8.1,0.62,14.7,Jordan Pickford
Jordan Pickford,Jordan Lee Pickford,0.1444346165609383,31500000,2019-2020,26.0,1.85,Goalkeeper,left,Premier League,1.47,3.82,2.5,63.4,0.34,0.26,0.39,0.24,23.7,0.11,0.08,0.0,0.03,0.0,1.47,0.08,0.08,0.16,0.08,1.28,0.32,-0.11,8.24,20.63,39.9,28.95,4.71,55.6,45.8,7.18,63.0,53.4,8.29,0.66,7.9,0.61,14.6,Jordan Pickford
Jordan Pickford,Jordan Lee Pickford,0.187483348397046,38333333,2018-2019,25.0,1.85,Goalkeeper,left,Premier League,1.21,3.45,2.29,66.4,0.39,0.24,0.37,0.37,36.8,0.13,0.05,0.08,0.0,60.0,1.21,0.05,0.05,0.29,0.05,1.26,0.34,0.1,7.68,20.47,37.5,25.87,4.11,58.8,48.7,7.58,69.4,59.1,7.37,0.63,8.6,0.84,15.3,Jordan Pickford
Jordan Pickford,Jordan Lee Pickford,0.1525996677327322,25000000,2017-2018,24.0,1.85,Goalkeeper,left,Premier League,1.53,4.61,3.13,68.6,0.34,0.26,0.39,0.26,26.3,0.13,0.08,0.03,0.03,25.0,1.53,0.08,0.0,0.18,0.0,1.57,0.33,0.04,8.47,25.92,32.7,26.08,4.08,67.9,54.1,8.92,92.0,72.5,9.66,0.63,6.5,0.84,15.1,Jordan Pickford
Julian Pollersbeck,Julian Pollersbeck,0.1546695923717857,2083333,2017-2018,24.0,1.95,Goalkeeper,right,Bundesliga,1.5,4.7,3.1,68.1,0.4,0.1,0.5,0.1,10.0,0.0,0.0,0.0,0.0,,1.5,0.0,0.1,0.1,0.0,1.64,0.36,0.14,8.0,21.3,37.6,48.1,4.6,38.3,36.7,6.3,46.0,44.0,7.2,0.9,12.5,2.0,18.8,Julian Pollersbeck
Julián Speroni,Julián María Speroni,0.1760511787994608,250000,2017-2018,39.0,1.86,Goalkeeper,right,Premier League,1.27,3.64,2.45,67.5,0.27,0.45,0.27,0.18,18.2,0.09,0.09,0.0,0.0,0.0,1.27,0.09,0.0,0.36,0.0,0.85,0.22,-0.42,8.0,22.55,35.5,20.18,1.55,73.0,51.7,8.18,95.6,61.2,11.27,0.55,4.8,0.55,12.0,Julián Speroni
Karl Darlow,Karl Darlow,0.1435565636797796,2850000,2020-2021,31.0,1.9,Goalkeeper,right,Premier League,1.72,4.8,3.24,66.7,0.28,0.16,0.56,0.16,16.0,0.16,0.12,0.04,0.0,25.0,1.72,0.12,0.04,0.16,0.08,1.48,0.28,-0.16,7.36,21.28,34.6,20.24,3.52,68.4,50.5,8.8,84.5,60.2,9.56,0.88,9.2,0.24,12.2,Karl Darlow
Karl Darlow,Karl Darlow,0.2065120041021145,4500000,2017-2018,28.0,1.9,Goalkeeper,right,Premier League,1.5,4.4,3.3,72.7,0.1,0.5,0.4,0.2,20.0,0.3,0.3,0.0,0.0,0.0,1.5,0.3,0.0,0.0,0.2,1.5,0.29,0.2,8.2,23.9,34.3,24.9,3.2,65.9,48.9,8.6,87.2,62.1,10.3,1.2,11.7,0.6,13.2,Karl Darlow
Karl-Johan Johnsson,Karl-Johan Johnsson,0.0526417318751668,2125000,2018-2019,29.0,1.88,Goalkeeper,right,Ligue 1,2.0,4.29,2.41,56.2,0.06,0.29,0.65,0.24,23.5,0.24,0.12,0.06,0.06,33.3,2.0,0.12,0.06,0.06,0.0,1.28,0.28,-0.72,8.29,20.29,40.9,20.71,3.35,64.8,48.5,7.53,91.4,66.2,7.71,0.53,6.9,0.65,15.4,Karl-Johan Johnsson
Karl-Johan Johnsson,Karl-Johan Johnsson,0.151272208613926,2500000,2017-2018,28.0,1.88,Goalkeeper,right,Ligue 1,1.55,4.45,3.05,68.0,0.32,0.29,0.39,0.29,28.9,0.18,0.13,0.05,0.0,28.6,1.55,0.13,0.0,0.18,0.03,1.45,0.29,-0.08,5.13,14.68,34.9,18.92,2.89,52.2,43.6,5.5,87.6,65.5,10.37,1.03,9.9,0.42,15.3,Karl-Johan Johnsson
Kasper Schmeichel,Kasper Peter Schmeichel,0.1550601047039674,7333333,2020-2021,35.0,1.89,Goalkeeper,right,Premier League,1.32,3.53,2.29,65.7,0.53,0.16,0.32,0.29,28.9,0.11,0.11,0.0,0.0,0.0,1.32,0.11,0.0,0.24,0.05,1.28,0.34,0.01,5.95,14.03,42.4,26.55,4.32,42.4,38.0,5.5,50.2,42.7,7.82,0.63,8.1,0.37,13.0,Kasper Schmeichel
Kasper Schmeichel,Kasper Peter Schmeichel,0.2014490841919274,10750000,2019-2020,34.0,1.89,Goalkeeper,right,Premier League,1.08,3.32,2.5,73.8,0.47,0.21,0.32,0.34,34.2,0.26,0.21,0.05,0.0,20.0,1.08,0.21,0.0,0.18,0.05,1.11,0.28,0.08,6.29,12.84,49.0,24.63,3.97,39.9,37.4,6.37,47.5,40.8,7.71,0.26,3.4,0.71,15.7,Kasper Schmeichel
Kasper Schmeichel,Kasper Peter Schmeichel,0.157708162767765,12000000,2018-2019,33.0,1.89,Goalkeeper,right,Premier League,1.26,3.5,2.37,67.7,0.39,0.18,0.42,0.26,26.3,0.13,0.13,0.0,0.0,0.0,1.26,0.13,0.0,0.18,0.0,1.14,0.3,-0.12,9.11,18.82,48.4,24.11,3.26,52.2,42.4,8.34,74.8,56.8,9.05,0.68,7.6,0.39,13.4,Kasper Schmeichel
Kasper Schmeichel,Kasper Peter Schmeichel,0.1625574551980219,10000000,2017-2018,32.0,1.89,Goalkeeper,right,Premier League,1.43,4.16,2.76,66.4,0.33,0.3,0.36,0.24,24.2,0.09,0.03,0.06,0.0,66.7,1.43,0.03,0.09,0.33,0.03,1.19,0.27,-0.21,9.89,25.43,38.9,26.1,3.06,67.4,50.7,8.37,93.5,69.7,9.16,0.7,7.6,1.12,16.7,Kasper Schmeichel
Kevin Trapp,Kevin Trapp,0.2023199733538229,6750000,2020-2021,31.0,1.89,Goalkeeper,right,Bundesliga,1.58,4.33,2.94,66.4,0.45,0.36,0.18,0.12,12.1,0.18,0.12,0.03,0.03,20.0,1.58,0.12,0.03,0.21,0.06,1.35,0.29,-0.16,7.79,19.39,40.2,33.0,4.88,46.1,37.9,7.97,52.5,43.9,8.67,0.73,8.4,0.7,14.9,Kevin Trapp
Kevin Trapp,Kevin Trapp,0.1407528453983346,9000000,2019-2020,30.0,1.89,Goalkeeper,right,Bundesliga,1.73,4.73,3.14,64.4,0.5,0.14,0.36,0.18,18.2,0.05,0.05,0.0,0.0,0.0,1.73,0.05,0.05,0.14,0.09,1.45,0.3,-0.18,8.23,18.32,44.9,36.09,4.09,42.3,37.1,6.59,46.2,41.2,7.64,0.77,10.1,0.95,15.1,Kevin Trapp
Kevin Trapp,Kevin Trapp,0.1771073423392291,10000000,2018-2019,29.0,1.89,Goalkeeper,right,Bundesliga,1.47,4.87,3.46,70.4,0.43,0.28,0.31,0.25,24.2,0.03,0.03,0.0,0.0,0.0,1.47,0.03,0.03,0.18,0.03,1.47,0.31,0.03,11.0,23.71,46.4,30.33,3.28,59.1,43.2,6.71,86.3,61.7,8.67,0.86,9.9,0.74,15.1,Kevin Trapp
Koen Casteels,Koen Casteels,0.2366954315614476,12500000,2020-2021,29.0,1.97,Goalkeeper,left,Bundesliga,1.03,3.16,2.25,70.3,0.53,0.28,0.19,0.44,43.8,0.16,0.09,0.06,0.0,40.0,1.03,0.09,0.03,0.09,0.03,1.04,0.31,0.04,7.38,16.72,44.1,32.66,4.91,38.3,36.4,6.34,66.5,52.1,8.03,0.66,8.2,1.06,15.7,Koen Casteels
Koen Casteels,Koen Casteels,0.1376567109822199,11750000,2019-2020,28.0,1.97,Goalkeeper,left,Bundesliga,1.46,4.0,2.65,67.3,0.42,0.23,0.35,0.19,19.2,0.15,0.15,0.0,0.0,0.0,1.46,0.15,0.04,0.19,0.0,1.42,0.33,-0.05,8.73,18.65,46.8,31.04,4.73,47.0,40.1,6.85,59.6,48.7,8.35,0.69,8.3,0.92,15.5,Koen Casteels
Koen Casteels,Koen Casteels,0.1452238535578432,11500000,2018-2019,27.0,1.97,Goalkeeper,left,Bundesliga,1.53,4.75,3.37,71.1,0.43,0.24,0.35,0.31,30.8,0.2,0.16,0.04,0.0,20.0,1.53,0.16,0.12,0.08,0.0,1.73,0.34,0.2,8.51,18.71,45.5,38.86,5.88,36.8,37.7,7.84,56.0,50.1,9.53,1.1,11.5,0.9,14.8,Koen Casteels
Koen Casteels,Koen Casteels,0.1680110642892473,5000000,2017-2018,26.0,1.97,Goalkeeper,left,Bundesliga,1.41,4.21,3.0,70.6,0.18,0.44,0.38,0.24,23.5,0.29,0.18,0.09,0.03,33.3,1.41,0.18,0.03,0.15,0.06,1.51,0.31,0.16,7.91,20.71,38.2,30.18,5.82,49.9,41.1,7.94,71.1,55.1,8.76,1.03,11.7,0.65,13.6,Koen Casteels
Leandro Chichizola,Leandro Chichizola,0.1377106624630446,1000000,2017-2018,27.0,1.82,Goalkeeper,right,La Liga,1.74,5.59,4.0,70.9,0.15,0.19,0.67,0.15,14.8,0.11,0.11,0.0,0.0,0.0,1.74,0.11,0.04,0.19,0.04,1.71,0.29,0.0,6.37,16.33,39.0,30.93,5.33,40.6,37.0,6.11,61.8,50.4,8.48,1.19,14.0,1.26,16.2,Leandro Chichizola
Loris Karius,Loris Sven Karius,0.2187028614700075,10000000,2017-2018,25.0,1.91,Goalkeeper,right,Premier League,0.74,2.16,1.47,70.7,0.58,0.26,0.16,0.53,52.6,0.16,0.11,0.05,0.0,33.3,0.74,0.11,0.0,0.16,0.0,0.83,0.33,0.09,4.37,13.11,33.3,27.26,5.68,36.3,35.8,5.37,59.8,50.1,7.79,0.63,8.1,0.63,14.7,Loris Karius
Ludovic Butelle,Ludovic Butelle,0.1611827479326204,250000,2019-2020,37.0,1.88,Goalkeeper,left,Ligue 1,1.23,3.0,1.92,62.8,0.38,0.23,0.38,0.42,42.3,0.12,0.12,0.0,0.0,0.0,1.23,0.12,0.04,0.04,0.04,0.94,0.28,-0.25,5.73,14.77,38.8,18.96,4.38,47.5,39.8,7.81,73.9,52.5,7.12,0.58,8.1,0.81,14.9,Ludovic Butelle
Ludovic Butelle,Ludovic Butelle,0.1723682745481651,500000,2018-2019,36.0,1.88,Goalkeeper,left,Ligue 1,1.33,4.33,3.11,71.2,0.25,0.42,0.33,0.33,33.3,0.14,0.08,0.06,0.0,40.0,1.33,0.08,0.0,0.11,0.03,1.3,0.28,0.0,7.2,16.64,43.2,19.28,4.72,54.2,43.4,7.7,80.5,55.6,10.34,0.92,8.9,0.94,14.9,Ludovic Butelle
Ludovic Butelle,Ludovic Butelle,0.2093926537424205,600000,2017-2018,35.0,1.88,Goalkeeper,left,Ligue 1,1.2,3.81,2.83,72.9,0.33,0.27,0.44,0.22,21.1,0.16,0.16,0.0,0.0,0.0,1.2,0.16,0.05,0.05,0.05,1.12,0.26,-0.03,3.43,12.41,27.6,16.5,3.43,48.8,40.4,4.85,89.9,60.6,9.53,1.14,12.0,1.25,17.5,Ludovic Butelle
Luigi Sepe,Luigi Sepe,0.072858748682396,5075000,2020-2021,30.0,1.85,Goalkeeper,left,Serie A,2.11,4.92,2.86,58.2,0.08,0.31,0.61,0.14,13.9,0.06,0.06,0.0,0.0,0.0,2.11,0.06,0.0,0.25,0.08,1.69,0.34,-0.34,9.75,17.69,55.1,32.64,5.0,44.2,38.1,7.5,43.7,38.5,11.56,0.69,6.0,0.31,12.8,Luigi Sepe
Luigi Sepe,Luigi Sepe,0.1372132361041074,4500000,2019-2020,29.0,1.85,Goalkeeper,left,Serie A,1.56,5.41,3.94,74.5,0.38,0.18,0.44,0.15,14.7,0.26,0.18,0.09,0.0,33.3,1.56,0.18,0.03,0.29,0.0,1.59,0.26,0.03,8.12,16.53,49.1,23.79,3.35,51.2,41.6,9.68,45.0,35.3,11.5,0.35,3.1,0.24,13.0,Luigi Sepe
Luigi Sepe,Luigi Sepe,0.1619550417872463,3833333,2018-2019,28.0,1.85,Goalkeeper,left,Serie A,1.59,5.16,3.89,73.3,0.27,0.3,0.43,0.27,27.0,0.22,0.22,0.0,0.0,0.0,1.59,0.22,0.03,0.24,0.11,1.44,0.25,-0.05,9.35,21.19,44.1,20.3,3.49,55.0,44.8,12.19,82.3,56.2,15.38,1.03,6.7,0.27,11.3,Luigi Sepe
Lukáš Hrádecký,Lukáš Hrádecký,0.2489844988772609,6250000,2020-2021,32.0,1.92,Goalkeeper,right,Bundesliga,1.02,2.88,1.96,65.9,0.46,0.32,0.25,0.28,27.6,0.07,0.04,0.04,0.0,50.0,1.02,0.04,0.04,0.0,0.07,0.94,0.31,-0.01,7.33,17.65,41.6,42.63,6.32,35.9,34.8,6.18,38.1,34.2,7.3,0.74,10.1,1.09,16.2,Lukáš Hrádecký
Lukáš Hrádecký,Lukáš Hrádecký,0.1828184545388826,8666666,2019-2020,31.0,1.92,Goalkeeper,right,Bundesliga,1.29,4.03,2.71,69.3,0.56,0.18,0.26,0.29,29.4,0.06,0.06,0.0,0.0,0.0,1.29,0.06,0.03,0.18,0.0,1.43,0.35,0.14,7.68,17.76,43.2,40.06,6.03,37.0,35.7,6.88,42.7,38.9,6.41,0.62,9.6,0.85,15.8,Lukáš Hrádecký
Lukáš Hrádecký,Lukáš Hrádecký,0.1451596330286654,10000000,2018-2019,30.0,1.92,Goalkeeper,right,Bundesliga,1.47,3.91,2.59,64.8,0.56,0.13,0.31,0.28,28.1,0.13,0.09,0.03,0.0,25.0,1.47,0.09,0.06,0.31,0.06,1.28,0.3,-0.13,7.44,15.91,46.8,36.5,5.0,34.6,35.0,6.13,53.6,44.6,7.28,0.69,9.4,0.88,16.0,Lukáš Hrádecký
Lukáš Hrádecký,Lukáš Hrádecký,0.1948254722142158,7500000,2017-2018,29.0,1.92,Goalkeeper,right,Bundesliga,1.32,3.91,2.68,67.7,0.41,0.21,0.38,0.21,20.6,0.09,0.06,0.0,0.03,0.0,1.32,0.06,0.06,0.24,0.06,1.21,0.3,-0.06,8.29,20.71,40.1,31.18,4.82,50.8,41.5,6.35,76.9,58.9,8.85,0.71,8.0,1.03,15.2,Lukáš Hrádecký
Łukasz Skorupski,Łukasz Skorupski,0.163848757341991,4433333,2020-2021,30.0,1.87,Goalkeeper,right,Serie A,1.64,5.11,3.64,71.3,0.36,0.18,0.46,0.14,14.3,0.25,0.18,0.07,0.0,28.6,1.64,0.18,0.04,0.29,0.04,1.6,0.28,0.0,4.29,11.29,38.0,26.36,5.82,33.7,33.3,8.14,29.4,26.2,8.68,0.89,10.3,0.46,12.8,Łukasz Skorupski
Łukasz Skorupski,Łukasz Skorupski,0.1060506785799415,6250000,2019-2020,29.0,1.87,Goalkeeper,right,Serie A,1.73,4.86,3.3,67.8,0.32,0.27,0.41,0.05,5.4,0.22,0.16,0.03,0.03,14.3,1.73,0.16,0.05,0.16,0.03,1.56,0.3,-0.14,5.32,12.03,44.3,23.11,5.84,37.7,35.3,7.89,42.1,34.8,8.65,1.24,14.4,0.41,12.9,Łukasz Skorupski
Łukasz Skorupski,Łukasz Skorupski,0.1394095541713766,7000000,2018-2019,28.0,1.87,Goalkeeper,right,Serie A,1.47,4.55,3.18,69.9,0.29,0.29,0.42,0.26,26.3,0.11,0.11,0.0,0.0,0.0,1.47,0.11,0.03,0.13,0.03,1.33,0.28,-0.12,6.97,15.97,43.7,20.61,5.82,48.5,40.8,9.03,66.2,51.3,10.68,1.08,10.1,0.24,12.3,Łukasz Skorupski
Mamadou Samassa,Mamadou Samassa,0.1725848577445354,2500000,2017-2018,28.0,1.98,Goalkeeper,right,Ligue 1,1.48,5.14,3.86,73.1,0.29,0.14,0.57,0.24,23.8,0.14,0.1,0.05,0.0,33.3,1.48,0.1,0.0,0.19,0.05,1.39,0.25,0.0,4.38,15.14,28.9,18.1,3.57,53.2,43.9,5.67,97.5,65.5,12.81,1.1,8.6,0.52,15.6,Mamadou Samassa
Manuel Neuer,Manuel Peter Neuer,0.235232090585288,18000000,2020-2021,34.0,1.93,Goalkeeper,right,Bundesliga,1.27,3.82,2.52,67.5,0.73,0.15,0.12,0.27,27.3,0.09,0.03,0.03,0.03,50.0,1.27,0.03,0.0,0.15,0.0,1.34,0.34,0.07,7.24,11.85,61.1,34.27,5.73,30.9,32.1,5.64,22.6,29.1,6.91,0.18,2.6,1.27,16.5,Manuel Neuer
Manuel Neuer,Manuel Peter Neuer,0.2064184704435597,16250000,2019-2020,33.0,1.93,Goalkeeper,right,Bundesliga,0.94,3.36,2.55,74.8,0.76,0.12,0.12,0.45,45.5,0.12,0.09,0.03,0.0,25.0,0.94,0.09,0.0,0.18,0.03,0.98,0.27,0.08,6.61,11.21,58.9,38.39,6.12,26.0,30.1,5.42,22.3,29.0,5.91,0.39,6.7,1.64,19.3,Manuel Neuer
Manuel Neuer,Manuel Peter Neuer,0.1935586256300396,23333333,2018-2019,32.0,1.93,Goalkeeper,right,Bundesliga,0.9,1.99,1.25,60.8,0.78,0.12,0.12,0.39,38.5,0.12,0.12,0.0,0.0,0.0,0.9,0.12,0.0,0.08,0.04,0.64,0.28,-0.21,5.16,10.59,48.7,31.11,4.26,30.9,32.5,4.69,20.8,33.1,4.96,0.35,7.1,1.17,18.1,Manuel Neuer
Marc-André ter Stegen,Marc-André ter Stegen,0.218436853122501,70000000,2020-2021,29.0,1.87,Goalkeeper,right,La Liga,1.03,3.29,2.42,71.6,0.68,0.16,0.16,0.35,35.5,0.1,0.1,0.0,0.0,0.0,1.03,0.1,0.03,0.13,0.06,0.94,0.27,-0.03,4.45,7.77,57.3,28.35,4.81,22.2,29.4,5.03,29.5,31.8,5.61,0.61,10.9,0.71,17.1,Marc-André ter Stegen
Marc-André ter Stegen,Marc-André ter Stegen,0.1926852509122125,81000000,2019-2020,28.0,1.87,Goalkeeper,right,La Liga,1.0,3.06,2.17,72.7,0.67,0.17,0.17,0.39,38.9,0.19,0.17,0.03,0.0,14.3,1.0,0.17,0.06,0.03,0.0,0.97,0.27,-0.03,5.69,9.39,60.7,33.33,4.92,22.8,28.8,6.08,29.7,31.0,7.39,0.36,4.9,0.75,15.1,Marc-André ter Stegen
Marc-André ter Stegen,Marc-André ter Stegen,0.2015816969343909,83333333,2018-2019,27.0,1.87,Goalkeeper,right,La Liga,0.91,3.31,2.46,73.3,0.71,0.23,0.06,0.46,45.7,0.03,0.03,0.0,0.0,0.0,0.91,0.03,0.0,0.09,0.03,0.98,0.29,0.09,4.06,7.89,51.4,24.66,5.46,21.8,29.0,5.63,44.7,40.3,8.2,1.0,12.2,0.77,16.4,Marc-André ter Stegen
Marc-André ter Stegen,Marc-André ter Stegen,0.2408530320258085,53333333,2017-2018,26.0,1.87,Goalkeeper,right,La Liga,0.76,3.46,2.76,79.7,0.73,0.24,0.03,0.51,51.4,0.05,0.05,0.0,0.0,0.0,0.76,0.05,0.0,0.03,0.0,1.0,0.28,0.24,4.35,8.89,48.9,25.68,3.81,27.2,30.0,3.62,53.0,44.2,7.62,0.68,8.9,0.57,15.2,Marc-André ter Stegen
Marc-Aurèle Caillard,Marc-Aurèle Caillard,0.1192249523762303,900000,2018-2019,25.0,1.91,Goalkeeper,right,Ligue 1,1.62,4.29,2.67,63.3,0.19,0.33,0.48,0.29,28.6,0.1,0.05,0.05,0.0,50.0,1.62,0.05,0.05,0.14,0.0,1.4,0.32,-0.21,7.14,18.81,38.0,17.86,3.14,64.8,48.9,8.24,87.9,62.9,8.0,0.71,8.9,0.33,12.5,Marc-Aurèle Caillard
Marco Silvestri,Marco Silvestri,0.1913039971584677,8333333,2020-2021,30.0,1.91,Goalkeeper,right,Serie A,1.24,3.68,2.62,70.2,0.32,0.26,0.41,0.21,20.6,0.21,0.18,0.0,0.03,0.0,1.24,0.18,0.03,0.21,0.06,1.1,0.26,-0.07,6.24,21.94,28.4,21.38,2.32,68.6,47.0,8.09,89.8,58.9,8.47,0.29,3.5,0.38,13.1,Marco Silvestri
Marco Silvestri,Marco Silvestri,0.1845397181586394,4600000,2019-2020,29.0,1.91,Goalkeeper,right,Serie A,1.23,4.23,3.09,75.7,0.31,0.37,0.31,0.26,25.7,0.2,0.2,0.0,0.0,0.0,1.23,0.2,0.03,0.2,0.03,1.21,0.25,0.01,5.51,20.51,26.9,18.89,2.23,66.3,48.1,9.43,84.8,59.2,10.46,0.49,4.6,0.26,12.0,Marco Silvestri
