longName,ratings_mean,season
Asier Illarramendi Andonegi,0.0458919752847977,2017-2018
Assane Dioussé El Hadji,0.0158224224921512,2017-2018
Aymen Abdennour,0.0047672575379746,2017-2018
Aymen Barkok,0.0048149623348987,2017-2018
Aymeric  Laporte,0.005656358397469,2017-2018
Ayoze Pérez Gutiérrez,0.0876237162648476,2017-2018
Aïssa Mandi,0.014235173299681,2017-2018
Bacary Sagna,0.0186462692069334,2017-2018
Bakary Adama Soumaoro,0.0050727196508328,2017-2018
Bakary Koné,0.0128276624619991,2017-2018
Bakaye Dibassy,0.012068208282374,2017-2018
Bamidele Alli,0.0555281563072249,2017-2018
Baptiste Guillaume,0.0050413517964948,2017-2018
Baptiste Santamaria,0.0044382447162127,2017-2018
Bartolomeu Jacinto Quissanga,0.0313906320974038,2017-2018
Bartosz Bereszyński,0.0041771829210282,2017-2018
Bartosz Salamon,0.0048735719127297,2017-2018
Bassem  Srarfi,0.0311385222316438,2017-2018
Bastian Oczipka,0.0051520018341551,2017-2018
Baïssama Sankoh,0.0046775152288864,2017-2018
Bel Durel Avounou,0.0047900477582358,2017-2018
Ben Chilwell,0.0049662178173569,2017-2018
Ben Davies,0.0247936459028245,2017-2018
Ben Mee,0.0060089333151384,2017-2018
Ben Watson,0.0047206956928085,2017-2018
Benedikt Höwedes,0.0048618386774434,2017-2018
Beni Baningime,0.0046317381815917,2017-2018
Benik Afobe,0.0051011414139922,2017-2018
Benito Nicolas Viola,0.004942311232306,2017-2018
Benjamin André,0.0270696326331945,2017-2018
Benjamin Bourigeaud,0.0923003534618826,2017-2018
Benjamin Henrichs,0.0045034118884442,2017-2018
Benjamin Hübner,0.0338632448045922,2017-2018
Benjamin Jeannot,0.0227530478889809,2017-2018
Benjamin Nivet,0.0254425326516533,2017-2018
Benjamin Pavard,0.0154932946081724,2017-2018
Benjamin Stambouli,0.0044799350941818,2017-2018
Beram Kayal,0.0045904709769552,2017-2018
Berat  Djimsiti,0.0048958064498705,2017-2018
Berkay Özcan,0.0048384048842752,2017-2018
Bernardo,0.0152510633193962,2017-2018
Bernardo José Espinosa Zúñiga,0.0056509539516794,2017-2018
Bernardo Mota Veiga de Carvalho e Silva,0.0542861196608726,2017-2018
Bertrand Isidore Traoré,0.1173338287036501,2017-2018
Beñat Etxebarria Urkiaga,0.0049454271945128,2017-2018
Blaise Matuidi,0.025923992988144,2017-2018
Bobby Shou Wood,0.0289953000964968,2017-2018
Bojan Krkíc Pérez,0.0047939481533164,2017-2018
Bongani Zungu,0.0145486648225217,2017-2018
Borja García Freire,0.0147491028209671,2017-2018
Borja González Tomás,0.0048790731972608,2017-2018
Borja Mayoral Moya,0.0047999541390532,2017-2018
Borja Valero Iglesias,0.0147453410053763,2017-2018
Borja Valle Balonga,0.0049818287448671,2017-2018
Boubacar Kamara,0.0047902073714768,2017-2018
Boubakary Soumaré,0.004705137016012,2017-2018
Boukary Dramé,0.0047655900969741,2017-2018
Bouna Sarr,0.0050363013345363,2017-2018
Boštjan Cesar,0.004849590695435,2017-2018
Brais Méndez Portela,0.0162276654876825,2017-2018
Bram Nuytinck,0.0049070409494782,2017-2018
Branimir Hrgota,0.0048184614398824,2017-2018
Breel-Donald Embolo,0.040301942926963,2017-2018
Bright Gyamfi,0.0047873580575195,2017-2018
Bruno André Cavaco Jordão,0.0047902073714768,2017-2018
Bruno González Cabrera,0.0049354036850751,2017-2018
Bruno Martella,0.004255106326734,2017-2018
Bruno Martins Indi,0.0048032650190246,2017-2018
Bruno Miguel Boialvo Gaspar,0.0047069397268278,2017-2018
Bruno Petković,0.0049649114867155,2017-2018
Bruno Saltor Grau,0.0046638226311581,2017-2018
Bruno Zuculini,0.0355892492761477,2017-2018
Bruno da Silva Peres,0.0046342944570221,2017-2018
Bryan Cristante,0.0876745042125638,2017-2018
Bryan Dabo,0.0292069076391445,2017-2018
Bryan Pelé,0.043424644578451,2017-2018
Caglar Söyüncü,0.0166661182683895,2017-2018
Caiuby Francisco da Silva,0.0457196976237014,2017-2018
Callum Wilson,0.0920530323105913,2017-2018
Carlos Alberto Sánchez Moreno,0.0047086377212531,2017-2018
Carlos Arturo Bacca Ahumada,0.1176349531369265,2017-2018
Carlos Henrique Casimiro,0.0371479069932009,2017-2018
Carlos Joaquín Correa,0.027215491102678,2017-2018
Carlos Joel Salcedo Hernández,0.0048559346126629,2017-2018
Carlos Martín Vigaray,0.0045200502190468,2017-2018
Carlos Soler Barragán,0.0042153788174102,2017-2018
Celso Borges Mora,0.0386553236996296,2017-2018
Cengiz Ünder,0.0492133885832026,2017-2018
Cenk Tosun,0.0950250284585439,2017-2018
Chadrac Akolo,0.0500479438462295,2017-2018
Chang-Hoon Kwon,0.0843275220042357,2017-2018
Chaouki Ben Saada,0.0048120637378461,2017-2018
Charles,0.0959405286084294,2017-2018
Charles Mariano Aránguiz Sandoval,0.0153884973087121,2017-2018
Charles Traoré,0.0042485711025501,2017-2018
Charlie Adam,0.0046631545214206,2017-2018
Charlie Austin,0.1054685550559752,2017-2018
Charlie Daniels,0.0047913695156243,2017-2018
Charlie Taylor,0.0047902073714768,2017-2018
Cheick Doukouré,0.0048527800843771,2017-2018
Cheick Keita,0.0047902073714768,2017-2018
Cheikh M'Bengue,0.0047905711605851,2017-2018
Cheikhou Kouyaté,0.0059852062089126,2017-2018
Chidozie Collins Awaziem,0.0152696235665241,2017-2018
Chris Brunt,0.0054674531632139,2017-2018
Chris Löwe,0.0039324658060649,2017-2018
Chris Philipps,0.0045591897647448,2017-2018
Chris Smalling,0.0296005117413464,2017-2018
Chris Wood,0.1129640138208858,2017-2018
Christ Emmanuel Faitout Maouassa,0.0047488127770169,2017-2018
Christian  Atsu Twasam,0.0431243834999038,2017-2018
Christian  Dannemann Eriksen,0.0767638923381623,2017-2018
Christian Benteke Liolo,0.0273609817225624,2017-2018
Christian Dell'Orco,0.0047896927399461,2017-2018
Christian Fuchs,0.0049825766692547,2017-2018
Christian Günter,0.0046395982845665,2017-2018
Christian Kabasele,0.0176765167130657,2017-2018
Christian Kouakou Yao,0.0270443985280023,2017-2018
Christian Maggio,0.0049378632008976,2017-2018
Christian Pulisic,0.0295123148029636,2017-2018
Christoph Janker,0.0048107756277993,2017-2018
Christoph Kramer,0.0402046861753676,2017-2018
Christophe Jallet,0.0047227128789135,2017-2018
Christophe Kerbrat,0.011346848772114,2017-2018
Christopher Hérelle,0.005050934684809,2017-2018
Christopher Jullien,0.0147448057017669,2017-2018
Christopher Nkunku,0.0047755472244891,2017-2018
Christopher Schindler,0.0056017646695281,2017-2018
Chung-Yong Lee,0.004786531150363,2017-2018
Ciaran Clark,0.0106913077412962,2017-2018
Ciro Immobile,0.2143262947930726,2017-2018
Claudio Ariel Yacob,0.0048667121449578,2017-2018
Claudio Beauvue,0.0137341124986236,2017-2018
Claudio Marchisio,0.0047283398481622,2017-2018
Claudio Miguel Pizarro Bossio,0.0255195027146004,2017-2018
Clinton Mua N'Jie,0.0499041567905048,2017-2018
Clément Lenglet,0.0263003091160744,2017-2018
Clément Michelin,0.0047975854110764,2017-2018
Collin Quaner,0.0044161861204753,2017-2018
Connor Goldson,0.0047799263147175,2017-2018
Corentin Jean,0.0230079155458079,2017-2018
Corentin Tolisso,0.0415082732787137,2017-2018
Craig Dawson,0.0234582197624577,2017-2018
Cristhian Ricardo Stuani Curbelo,0.1611007167992958,2017-2018
Cristian Daniel Ansaldi,0.0218986329033495,2017-2018
Cristian Eduardo Zapata Valencia,0.0048206034694148,2017-2018
Cristian Molinaro,0.004515188508378,2017-2018
