longName,wyId
Miguel Ángel Moyà Rumbo,3994
Miguel Torres Gómez,4003
Mehdi Lacen,4009
Rubén Salvador Pérez Del Mármol,4013
Pedro León Sánchez Gil,4014
Pablo Sarabia García,4015
Fidel,4034
Sergio Enrich Ametller,4048
Manuel Jesús Vázquez Florido,4052
Stole Dimitrievski,4056
Jeison Fabián Murillo Cerón,4065
David Ferreiro,4078
Eneko Bóveda Altube,4086
Ander Capa Rodríguez,4094
Xabier Etxeita Gorritxategi,4113
Ángel Luis Rodríguez Díaz,4131
David Rodríguez Lombán,4180
Pedro Alcalá Guirado,4232
Míchel Macedo Rocha Machado,4238
José Antonio García Rabasco,4243
José Leonardo Ulloa,4255
Aleix Vidal Parreu,4256
Alberto García,4260
Joaquín Navarro Jiménez,4272
Borja García Freire,4278
Fede Vico,4285
David López Silva,4303
Daniel Giménez Hernández,4319
Joel Robles Blázquez,4320
Jorge Pulido,4325
Roberto Román Triguero,4326
Alejandro Arribas Garrido,4329
Javier Fuego Martínez,4332
Diego da Silva Costa,4338
Daniel Pacheco Lobato,4343
Alberto Perea,4344
Mariano Damián Barbosa,4348
Raúl Lizoáin Cruz,4350
David García Santana,4355
Víctor Laguardia Cisneros,4358
Juan Pedro Ramírez López,4360
Javi Castellano Betancor,4361
Jerónimo Figueroa Cabrera,4362
José Vicente Gómez Umpiérrez,4363
Roque Mesa Quevedo,4365
Hernán Daniel Santana Trujillo,4366
Dani Castellano Betancor,4371
Víctor Machín Pérez,4375
Jonathan Viera Ramos,4379
Jonathan Castro Otto,4424
Víctor Díaz,4425
Borja Valle Balonga,4440
Yuri Berchiche Izeta,4452
Iago Herrerín Buisán,4476
Saúl Ñíguez Esclapez,4488
Lucas Vázquez Iglesias,4498
Daniel Carvajal Ramos,4501
Omar Mascarell González,4509
Pedro Mosquera Parada,4511
Denis Cheryshev,4513
Óscar Plano Pedreño,4515
Sergio Mora Sánchez,4593
Alexander Szymanowski,4683
Roberto Santamaría,4752
David Juncà Reñé,4780
Jordi Masip,4785
Iván Balliu Campeny,4786
Carles Planas Antolínez,4789
Patricio Gabarrón Gil,4792
